PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Brendan Gallagher,F,3,,UFA,VAN,35,0.5,0,30,
Adin Hill,G,3,,UFA,VGK,31,1.0,0,37,
Morgan Barron,F,3,,UFA,WPG,28,0.0,0,25,
Mario Ferraro,D,3,,UFA,WPG,28,0.0,0,20,
Pavel Mintyukov,D,A,MINOR,ZSK,ANA,23,0.5,0,31,
Tanner Jeannot,F,3,,UFA,BOS,30,0.0,0,17,
Mark Kastelic,F,3,,UFA,BOS,28,0.0,0,21,
Sean Kuraly,F,3,,UFA,BOS,34,0.0,0,18,
Nikita Zadorov,D,3,,UFA,BOS,32,0.5,0,21,
Olen Zellweger,D,B,MINOR,ZSK,BUF,24,0.5,0,26,
Kent Johnson,F,B,MINOR,ZSK,CBJ,24,0.7,0,45,
Jared Spurgeon,D,3,,UFA,MIN,37,0.5,0,20,
Alexandre Carrier,D,3,,UFA,MTL,30,0.5,0,20,
Tye Kartye,F,3,,UFA,NYR,26,0.0,0,29,
Jonatan Berggren,F,3,,UFA,STL,27,0.5,0,31,
Pontus Holmberg,F,3,,UFA,TBL,28,0.0,0,23,
Jonas Johansson,G,3,,UFA,TBL,31,0.0,0,0,
Nate Schmidt,D,3,,UFA,UTA,36,0.5,0,18,
Kevin Lankinen,G,3,,UFA,VAN,32,0.0,0,24,
Brett Howden,F,3,,UFA,VGK,29,0.5,0,51,
Carter Hart,G,3,,UFA,VGK,29,0.0,0,76,
Ryan Strome,F,3,,UFA,CGY,34,0.7,0,38,
Mark Jankowski,F,3,,UFA,CAR,33,0.0,0,17,
Alex Vlasic,D,3,,UFA,CHI,26,0.0,0,19,
Axel Sandin-Pellikka,D,A,MINOR,JHN,DET,22,0.5,0,25,
Alexandre Texier,F,3,,UFA,MTL,28,0.0,0,20,
Jacob Fowler,G,A,MINOR,LGN,MTL,22,0.6,0,27,
Michael Misa,F,A,MINOR,JHN,SJS,20,0.9,0,56,
Dalibor Dvorsky,F,A,MINOR,JHN,STL,22,0.7,0,35,
Ryan McDonagh,D,3,,UFA,TBL,38,0.6,0,27,
Tom Willander,D,A,MINOR,LPT,VAN,22,0.5,0,25,
Nic Dowd,F,3,,UFA,VGK,37,0.0,0,20,
Charlie Lindgren,G,3,,UFA,WSH,33,0.6,0,25,
Adam Lowry,F,3,,UFA,WPG,34,0.0,0,22,
Ville Husso,G,3,,UFA,ANA,32,2.3,0,33,
Matvei Gridin,F,A,MINOR,JHN,CGY,21,0.5,0,55,
Devin Cooley,G,3,,UFA,CGY,30,0.0,0,16,
Jake Walman,D,3,START,SRL,EDM,31,1.2,0,23,
Scott Laughton,F,3,,UFA,LAK,33,0.0,0,30,
Mikey Anderson,D,3,,UFA,LAK,28,0.0,0,18,
Samuel Montembeault,G,3,,UFA,MTL,30,0.0,0,12,
Zemgus Girgensons,F,3,,UFA,TBL,33,0.8,0,18,
Anthony Stolarz,G,3,,UFA,TOR,33,1.8,0,38,
Colten Ellis,G,3,,UFA,BUF,26,0.0,0,23,
Oliver Moore,F,A,MINOR,LGN,CHI,22,0.5,0,33,
Arvid Soderblom,G,3,,UFA,CHI,28,0.0,0,12,
Marco Kasper,F,A,MINOR,SRL,DET,23,0.5,0,26,
Taylor Raddysh,F,3,,UFA,NYR,29,0.5,0,21,
Blake Lizotte,F,3,,UFA,PIT,29,0.0,0,21,
Samuel Girard,D,3,,UFA,PIT,29,0.5,0,22,
Igor Chernyshov,F,A,MINOR,ZSK,SJS,21,0.5,0,55,
Max Sasson,F,3,,UFA,VAN,27,0.0,0,14,
Thatcher Demko,G,3,,UFA,VAN,31,3.0,0,37,
Pierre-Luc Dubois,F,3,,UFA,WSH,29,1.8,0,57,
Matt Roy,D,3,,UFA,WSH,32,0.5,0,20,
Nino Niederreiter,F,3,,UFA,WPG,35,0.5,0,30,
Dylan DeMelo,D,3,,UFA,WPG,34,0.0,0,19,
Michael Eyssimont,F,3,,UFA,BOS,31,0.0,0,20,
Conor Sheary,F,3,,UFA,BUF,35,0.0,0,11,
Adam Klapka,F,3,,UFA,CGY,27,0.0,0,23,
Kevin Bahl,D,3,,UFA,CGY,27,0.0,0,17,
William Carrier,F,3,,UFA,CAR,32,0.0,0,11,
Eric Robinson,F,3,,UFA,CAR,32,0.0,0,16,
Vinnie Hinostroza,F,3,,UFA,COL,33,0.5,0,9,
Jonas Brodin,D,3,,UFA,MIN,34,0.5,0,16,
Casey Cizikas,F,3,,UFA,NYI,36,0.0,0,16,
Kyle Palmieri,F,3,,UFA,NYI,36,0.7,0,48,
Marcus Pettersson,D,3,,UFA,NYR,31,0.5,0,21,
Matthew Robertson,D,3,,UFA,NYR,26,0.0,0,18,
Braden Schneider,D,3,,UFA,NYR,25,0.0,0,20,
Tyler Kleven,D,3,,UFA,OTT,25,0.0,0,14,
Ryan Winterton,F,3,,UFA,SEA,24,0.0,0,19,
Colton Parayko,D,3,,UFA,STL,34,0.6,0,23,
Dakota Joshua,F,3,,UFA,TOR,31,0.0,0,16,
Steven Lorentz,F,3,,UFA,TOR,31,0.0,0,11,
Kevin Stenlund,F,3,,UFA,UTA,30,0.0,0,19,
Liam Ohgren,F,A,MINOR,ZSK,VAN,23,0.5,0,29,
Nick Jensen,D,3,,UFA,ANA,36,0.0,0,15,
Zach Whitecloud,D,3,,UFA,CGY,30,0.0,0,15,
Jalen Chatfield,D,3,,UFA,CAR,31,0.0,0,19,
Wyatt Kaiser,D,3,,UFA,CHI,25,0.0,0,15,
Fedor Svechkov,F,3,,UFA,COL,24,0.0,0,21,
Tyler Seguin,F,3,,UFA,DAL,35,0.7,0,37,
Radek Faksa,F,3,,UFA,DAL,33,0.6,0,17,
Keegan Kolesar,F,3,,UFA,DET,30,0.0,0,21,
Jason Dickinson,F,3,,UFA,EDM,32,0.0,0,21,
Kasperi Kapanen,F,3,,UFA,EDM,31,0.5,0,20,
Connor Murphy,D,3,,UFA,EDM,34,0.0,0,16,
Brian Dumoulin,D,3,,UFA,LAK,36,0.0,0,15,
Michael McCarron,F,3,,UFA,MIN,32,0.0,0,14,
Phillip Danault,F,3,,UFA,MTL,34,0.5,0,25,
Warren Foegele,F,3,,UFA,OTT,31,0.6,0,30,
Denver Barkey,F,3,,UFA,PHI,22,0.0,0,35,
Tyson Foerster,F,C,MINOR,LGN,PHI,25,0.5,0,46,
Berkly Catton,F,A,MINOR,LGN,SEA,21,0.8,0,24,
Ryker Evans,D,3,,UFA,SEA,25,0.0,0,22,
Tyler Tucker,D,3,,UFA,STL,27,0.0,0,12,
Oskar Sundqvist,F,3,,UFA,STL,33,0.0,0,19,
Victor Hedman,D,3,,UFA,TBL,36,4.7,0,41,
Teddy Blueger,F,3,,UFA,TOR,33,0.0,0,26,
Cole Koepke,F,3,,UFA,WPG,29,0.0,0,20,
Alex Steeves,F,3,,UFA,BOS,27,0.0,0,13,
Sam Carrick,F,3,,UFA,BUF,35,0.0,0,15,
Jake Middleton,D,3,,UFA,CGY,31,0.0,0,16,
Andrew Mangiapane,F,3,,UFA,CHI,31,0.5,0,19,
Adam Wilsby,D,3,,UFA,NSH,27,0.0,0,14,
Jonas Siegenthaler,D,3,,UFA,NJD,30,0.0,0,12,
Adam Pelech,D,3,,UFA,NYI,33,0.5,0,16,
Leevi Merilainen,G,C,MINOR,LGN,OTT,25,0.5,0,4,
Hendrix Lapierre,F,C,MINOR,SRL,PIT,25,0.5,0,21,
Kaedan Korczak,D,3,,UFA,PIT,26,0.0,0,18,
Jonny Brodzinski,F,3,,UFA,WSH,34,0.0,0,10,
Drew Helleson,D,3,,UFA,ANA,26,0.0,0,16,
Will Borgen,D,3,,UFA,BOS,30,0.0,0,16,
Henri Jokiharju,D,3,,UFA,BOS,28,0.0,0,16,
Pyotr Kochetkov,G,3,START,SHF,CAR,28,2.4,0,43,
Nick Lardis,F,3,,UFA,CHI,22,0.0,0,32,
Colin Blackwell,F,3,,UFA,DAL,34,0.0,0,12,
Ben Chiarot,D,3,,UFA,DET,36,0.5,0,13,
Lars Eller,F,3,,UFA,FLA,38,0.5,0,16,
Uvis Balinskis,D,3,,UFA,FLA,31,0.0,0,15,
Cole Reinhardt,F,3,,UFA,FLA,27,0.0,0,7,
Nick Foligno,F,3,,UFA,MIN,39,0.6,0,20,
Olli Maatta,D,3,,UFA,MIN,33,0.5,0,17,
Kirby Dach,F,3,,UFA,MTL,26,0.9,0,26,
Nicolas Hague,D,3,,UFA,NSH,28,0.0,0,15,
Brenden Dillon,D,3,,UFA,NJD,36,0.0,0,13,
Ondrej Palat,F,3,,UFA,NYI,36,0.8,0,19,
Scott Mayfield,D,3,,UFA,NYI,34,0.5,0,10,
Ben Meyers,F,3,,UFA,SEA,28,0.0,0,7,
Dominic James,F,3,,UFA,TBL,25,0.0,0,24,
Nick Paul,F,3,,UFA,TOR,32,0.8,0,32,
Paul Cotter,F,3,,UFA,VAN,27,0.0,0,16,
Jamie Oleksiak,D,3,,UFA,VAN,34,0.0,0,13,
Beck Malenstyn,F,3,,UFA,BUF,29,0.0,0,11,
Sam Rinzel,D,A,MINOR,LGN,CHI,23,0.5,0,27,
Miles Wood,F,3,,UFA,CBJ,32,0.0,0,12,
Mason Appleton,F,3,,UFA,DET,31,0.0,0,17,
Michael Rasmussen,F,3,,UFA,DET,28,0.5,0,18,
Alex Turcotte,F,3,,UFA,LAK,26,0.8,0,26,
Nikita Grebenkin,F,3,,UFA,PHI,24,0.0,0,13,
Rasmus Ristolainen,D,3,,UFA,PHI,32,0.8,0,17,
Trevor van Riemsdyk,D,3,,UFA,PIT,36,0.0,0,13,
Sam Dickinson,D,A,MINOR,JHN,SJS,21,0.7,0,25,
Ross Johnston,F,3,,UFA,STL,33,0.0,0,7,
Troy Stecher,D,3,,UFA,TOR,33,0.6,0,11,
Andrew Peeke,D,3,,UFA,UTA,29,0.0,0,13,
Aatu Raty,F,B,MINOR,VPP,VAN,24,0.6,0,22,
Vladislav Namestnikov,F,3,,UFA,WPG,34,0.5,0,23,
Dylan Samberg,D,3,,UFA,WPG,28,0.0,0,17,
Jonathan Aspirot,D,3,,UFA,BOS,28,0.0,0,13,
Gavin Brindley,F,3,,UFA,COL,22,0.0,0,7,
Colton Dach,F,3,,UFA,EDM,24,0.0,0,17,
Radko Gudas,D,3,,UFA,FLA,37,0.0,0,12,
Marcus Foligno,F,3,,UFA,MIN,36,0.0,0,15,
Alexander Kerfoot,F,3,,UFA,NSH,33,0.0,0,25,
Nick Perbix,D,3,,UFA,NSH,29,0.0,0,17,
Jesper Boqvist,F,3,,UFA,NJD,28,0.0,0,17,
Vitek Vanecek,G,3,,UFA,NYI,31,5.5,0,6,
Carl Grundstrom,F,3,,UFA,PHI,29,0.0,0,12,
Elmer Soderblom,F,3,,UFA,PIT,26,0.0,0,24,
Logan Mailloux,D,3,,UFA,STL,24,0.0,0,31,
Dennis Hildeby,G,3,,UFA,TBL,26,0.0,0,33,
Emil Andrae,D,3,,UFA,TOR,25,0.0,0,21,
Jeremy Lauzon,D,3,,UFA,VGK,30,0.0,0,12,
Yan Kuznetsov,D,3,,UFA,CGY,25,0.0,0,13,
Cole Smith,F,3,,UFA,CHI,31,0.0,0,11,
Brett Kulak,D,3,,UFA,COL,33,0.0,0,15,
Danton Heinen,F,3,,UFA,CBJ,32,0.0,0,18,
Isac Lundestrom,F,3,,UFA,CBJ,27,0.0,0,7,
Oskar Back,F,3,,UFA,DAL,27,0.0,0,14,
Ty Emberson,D,3,,UFA,EDM,27,0.0,0,12,
Shakir Mukhamadullin,D,3,,UFA,EDM,25,0.0,0,18,
Jayden Struble,D,3,,UFA,MTL,26,0.0,0,11,
Barclay Goodrow,F,3,,UFA,SJS,34,0.8,0,9,
Emil Lilleberg,D,3,,UFA,TBL,26,0.0,0,14,
Nikita Tolopilo,G,3,,UFA,VAN,27,0.0,0,0,
Brayden McNabb,D,3,,UFA,VGK,36,0.0,0,17,
Neal Pionk,D,3,,UFA,WPG,32,1.4,0,27,
Dante Fabbro,D,3,,UFA,CBJ,29,0.5,0,14,
Nils Lundkvist,D,3,,UFA,DAL,27,0.5,0,18,
Tyler Myers,D,3,,UFA,DAL,37,1.1,0,16,
Albert Johansson,D,3,,UFA,DET,26,0.0,0,9,
Mathieu Joseph,F,3,,UFA,EDM,30,0.0,0,14,
Niko Mikkola,D,3,,UFA,FLA,31,0.5,0,14,
Nico Sturm,F,3,,UFA,MIN,32,0.0,0,10,
Kaiden Guhle,D,3,,UFA,MTL,25,0.5,0,15,
Ryan Ufko,D,3,START,LGN,NSH,24,0.5,0,36,
Stephen Halliday,F,3,,UFA,OTT,25,0.0,0,27,
Ty Dellandrea,F,3,,UFA,SJS,27,0.5,0,11,
Alexey Toropchenko,F,3,,UFA,STL,28,0.0,0,17,
Nathan Walker,F,3,,UFA,STL,33,0.0,0,13,
Erik Cernak,D,3,,UFA,TBL,30,0.0,0,13,
Colton Sissons,F,3,,UFA,TOR,33,0.0,0,16,
Timothy Liljegren,D,3,,UFA,WSH,28,0.5,0,19,
Joel Nystrom,D,3,,UFA,CAR,25,0.0,0,16,
Noah Juulsen,D,3,,UFA,COL,30,0.0,0,8,
Zakhar Bardakov,F,3,,UFA,COL,26,0.0,0,0,
Spencer Stastney,D,3,,UFA,EDM,27,0.0,0,10,
Calvin Pickard,G,3,,UFA,MIN,35,0.5,0,0,
Porter Martone,F,A,MINOR,VPP,PHI,20,0.8,0,62,
Nick Seeler,D,3,,UFA,PHI,34,0.0,0,11,
Otto Stenberg,F,3,,UFA,STL,22,0.0,0,25,
Jeffrey Viel,F,3,,UFA,TBL,30,0.0,0,14,
Max Crozier,D,3,,UFA,TBL,27,0.0,0,10,
Elias Pettersson,D,3,,UFA,VAN,23,0.0,0,69,
Cole Hutson,D,A,MINOR,SRL,WSH,21,0.5,0,50,
Isak Rosen,F,B,MINOR,LGN,WPG,24,0.5,0,25,
Jeff Malott,F,3,,UFA,ANA,31,0.0,0,4,
Frank Vatrano,F,3,,UFA,ANA,33,0.5,0,19,
Nikita Nesterenko,F,3,,UFA,ANA,26,0.0,0,13,
Zayne Parekh,D,A,MINOR,LGN,CGY,21,0.9,0,38,
Jesperi Kotkaniemi,F,3,,UFA,CAR,27,0.5,0,19,
Anton Frondell,F,A,MINOR,LGN,CHI,20,0.8,0,65,
Ryan Lomberg,F,3,,UFA,CBJ,32,0.0,0,10,
Joel Kiviranta,F,3,,UFA,DAL,31,0.0,0,11,
Samuel Helenius,F,3,,UFA,LAK,24,0.0,0,13,
Cody Ceci,D,3,,UFA,LAK,33,0.6,0,12,
Justin Barron,D,3,,UFA,NSH,25,0.5,0,11,
Ilya Lyubushkin,D,3,,UFA,NSH,33,0.0,0,6,
Nick Bjugstad,F,3,,UFA,NJD,35,1.1,0,16,
Alex Bump,F,3,,UFA,PHI,23,0.0,0,34,
Ryan Lin,D,3,,UFA,SJS,19,0.0,0,0,
Ryan Lindgren,D,3,,UFA,SEA,29,0.0,0,13,
Brandon Duhaime,F,3,,UFA,TOR,30,0.0,0,12,
Alexander Holtz,F,C,MINOR,LGN,VGK,25,0.7,0,17,
Noah Gregor,F,3,,UFA,WPG,29,0.0,0,9,
Lukas Reichel,F,C,MINOR,BOT,BOS,25,0.5,0,11,
Conor Timmins,D,3,,UFA,BUF,28,0.5,0,11,
Jaccob Slavin,D,3,,UFA,CAR,33,0.7,0,17,
Lian Bichsel,D,3,,UFA,DAL,23,0.0,0,14,
Jacob Bryson,D,3,,UFA,DET,29,0.0,0,6,
Mattias Janmark,F,3,,UFA,EDM,34,0.7,0,10,
Donovan Sebrango,D,3,,UFA,FLA,25,0.0,0,9,
Reid Schaefer,F,3,,UFA,NSH,23,0.0,0,16,
Lenni Hameenaho,F,3,,UFA,NJD,22,0.0,0,21,
Johnathan Kovacevic,D,3,,UFA,NJD,30,0.0,0,13,
Sammy Blais,F,3,,UFA,OTT,31,0.0,0,13,
Ilya Solovyov,D,3,,UFA,PIT,27,0.0,0,13,
Jansen Harkins,F,3,,UFA,TBL,30,0.0,0,4,
Nick DeSimone,D,3,,UFA,UTA,32,0.0,0,7,
Hunter Brzustewicz,D,A,MINOR,SRL,CGY,22,0.5,0,15,
Brayden Pachal,D,3,,UFA,CGY,28,0.0,0,8,
Joel Hanley,D,3,,UFA,CGY,36,0.0,0,5,
Landon Slaggert,F,3,,UFA,CHI,25,0.0,0,11,
Drew Commesso,G,C,MINOR,BOT,CHI,25,0.5,0,11,
Nate Danielson,F,A,MINOR,SHF,DET,22,0.5,0,20,
Trent Frederic,F,3,,UFA,EDM,29,0.5,0,21,
Cole Schwindt,F,3,,UFA,FLA,26,0.0,0,13,
John Beecher,F,3,,UFA,FLA,26,0.0,0,7,
Taylor Ward,F,3,,UFA,LAK,29,0.0,0,6,
Stefan Noesen,F,3,,UFA,NJD,34,2.4,0,21,
Declan Chisholm,D,3,,UFA,NJD,27,0.0,0,14,
Brett Pesce,D,3,,UFA,NJD,32,0.5,0,12,
Kyle MacLean,F,3,,UFA,NYI,28,0.0,0,8,
Ville Koivunen,F,B,MINOR,LPT,PIT,24,0.5,0,31,
Zack Ostapchuk,F,3,,UFA,SJS,24,0.0,0,7,
Jani Nyman,F,3,,UFA,SEA,23,0.0,0,15,
Brandon Carlo,D,3,,UFA,STL,30,0.0,0,10,
Daniil But,F,3,,UFA,UTA,22,0.0,0,19,
Luke Schenn,D,3,,UFA,VAN,37,0.0,0,6,
Marc Gatcomb,F,3,,UFA,VGK,28,0.0,0,11,
William Karlsson,F,3,,UFA,VGK,34,1.1,0,38,
Vincent Desharnais,D,3,,UFA,WSH,31,0.0,0,6,
Jack St. Ivany,D,3,,UFA,WPG,28,0.0,0,9,
Connor Clifton,D,3,,UFA,BOS,32,0.0,0,10,
Brendan Gaunce,F,3,,UFA,BOS,33,0.0,0,4,
Tyson Kozak,F,3,,UFA,BUF,24,0.0,0,6,
Zach Metsa,D,3,,UFA,BUF,28,0.0,0,8,
Mike Benning,D,3,,UFA,CGY,25,0.0,0,11,
Jordan Greenway,F,3,,UFA,CHI,30,0.6,0,17,
Zach Bogosian,D,3,,UFA,MIN,37,0.0,0,8,
Daemon Hunt,D,3,,UFA,MIN,25,0.0,0,3,
Urho Vaakanainen,D,3,,UFA,NYR,28,0.0,0,10,
Jaroslav Chmelar,F,3,,UFA,NYR,24,0.0,0,6,
Scott Morrow,D,3,,UFA,NYR,24,0.0,0,16,
Simon Benoit,D,3,,UFA,PHI,28,0.0,0,7,
Rutger McGroarty,F,A,MINOR,LGN,PIT,23,0.5,0,6,
Clay Stevenson,G,3,,UFA,WSH,28,0.0,0,4,
Brad Lambert,F,3,,UFA,WPG,23,0.0,0,14,
Tim Washe,F,3,,UFA,ANA,26,0.0,0,12,
Jiri Kulich,F,A,MINOR,LGN,BUF,23,0.6,0,29,
Trent Miner,G,3,,UFA,COL,26,0.0,0,4,
Arttu Hyry,F,3,,UFA,DAL,26,0.0,0,4,
Kyle Capobianco,D,3,,UFA,DAL,30,0.0,0,5,
Jacob Bernard-Docker,D,3,,UFA,DET,27,0.0,0,8,
Isaac Howard,F,A,MINOR,JHN,EDM,23,0.6,0,18,
Max Jones,F,3,,UFA,EDM,29,0.0,0,8,
Sandis Vilmanis,F,3,,UFA,FLA,23,0.0,0,5,
Adam Edstrom,F,3,,UFA,NSH,26,0.0,0,6,
Nils Hoglander,F,3,,UFA,NSH,26,0.5,0,19,
Ozzy Wiesblatt,F,3,,UFA,NSH,25,0.0,0,6,
Joe Veleno,F,3,,UFA,NYR,27,0.5,0,11,
Nikolas Matinpalo,D,3,,UFA,OTT,28,0.0,0,6,
Avery Hayes,F,3,,UFA,PIT,24,0.0,0,0,
Jacob Melanson,F,3,,UFA,SEA,24,0.0,0,6,
Jack Finley,F,3,,UFA,STL,25,0.0,0,10,
Scott Sabourin,F,3,,UFA,TBL,35,0.0,0,2,
Bo Groulx,F,3,,UFA,TOR,27,0.0,0,12,
Arshdeep Bains,F,3,,UFA,VAN,26,0.0,0,2,
Tanner Laczynski,F,3,,UFA,VGK,30,0.0,0,4,
Elias Salomonsson,D,3,,UFA,WPG,23,0.0,0,15,
Konsta Helenius,F,A,MINOR,VPP,BUF,21,0.5,0,48,
Maxim Tsyplakov,F,3,,UFA,CGY,28,0.0,0,11,
Samuel Honzek,F,3,,UFA,CGY,22,0.0,0,13,
Cayden Primeau,G,F,MINOR,LPT,CAR,28,0.5,0,0,
Colton White,D,3,,UFA,CBJ,30,0.0,0,4,
John Leonard,F,3,,UFA,DET,29,0.0,0,7,
Josh Samanski,F,3,,UFA,EDM,25,0.0,0,14,
Tobias Bjornfot,D,3,,UFA,FLA,26,0.0,0,3,
Jared Wright,F,3,,UFA,LAK,24,0.0,0,9,
Arber Xhekaj,D,3,,UFA,MTL,26,0.0,0,5,
Nico Daws,G,3,,UFA,NJD,26,0.0,0,42,
Adam Sykora,F,3,,UFA,NYR,23,0.0,0,18,
Dylan Garand,G,C,MINOR,LPT,NYR,25,0.5,0,8,
Filip Hallander,F,3,,UFA,PIT,27,0.0,0,10,
Curtis Douglas,F,3,,UFA,SEA,27,0.0,0,3,
Theo Lindstein,D,3,,UFA,STL,22,0.0,0,18,
Mackenzie MacEachern,F,3,,UFA,VAN,33,0.0,0,2,
Carl Lindbom,G,B,MINOR,SHF,VGK,24,0.5,0,6,
Ilya Protas,F,A,MINOR,GVR,WSH,21,0.5,0,29,
Josh Dunne,F,3,,UFA,WSH,28,0.0,0,2,
Haydn Fleury,D,3,,UFA,WPG,31,0.0,0,5,
Jordan Harris,D,3,,UFA,BOS,27,0.0,0,5,
Martin Pospisil,F,3,,UFA,CGY,27,0.0,0,20,
Ben Jones,F,3,,UFA,CGY,28,0.0,0,2,
Brennan Othmann,F,B,MINOR,ZSK,CGY,24,0.5,0,9,
Bradly Nadeau,F,A,MINOR,LPT,CAR,22,0.5,0,9,
Jake Christiansen,D,3,,UFA,CBJ,28,0.0,0,3,
Erik Gudbranson,D,3,,UFA,CBJ,35,0.0,0,7,
Dominik Shine,F,3,,UFA,DET,34,0.0,0,1,
Alec Regula,D,3,,UFA,EDM,27,0.0,0,1,
Jonah Gadjovich,F,3,,UFA,FLA,28,0.0,0,9,
Garnet Hathaway,F,3,,UFA,FLA,35,0.0,0,9,
Joakim Kemell,F,A,MINOR,LGN,NSH,23,0.7,0,7,
Vladislav Kolyachonok,D,3,,UFA,NJD,26,0.0,0,6,
Matthew Kessel,D,3,,UFA,NYI,27,0.0,0,3,
Marshall Warren,D,3,,UFA,NYI,26,0.0,0,3,
Vincent Iorio,D,3,,UFA,NYR,24,0.0,0,3,
Juuso Parssinen,F,3,,UFA,NYR,26,0.0,0,4,
Declan Carlile,D,3,,UFA,PIT,27,0.0,0,10,
Joshua Mahura,D,3,,UFA,SEA,29,0.0,0,3,
Cale Fleury,D,3,,UFA,SEA,28,0.0,0,2,
Conor Geekie,F,A,MINOR,VPP,TBL,23,0.7,0,22,
Jacob Quillan,F,3,,UFA,TOR,25,0.0,0,5,
Brandon Tanev,F,3,,UFA,UTA,35,0.0,0,5,
Filip Chytil,F,3,,UFA,VAN,28,0.9,0,29,
Jonathan Lekkerimaki,F,A,MINOR,VPP,VAN,23,0.5,0,4,
Victor Mancini,D,3,,UFA,VAN,25,0.0,0,3,
Ivan Miroshnichenko,F,A,MINOR,LPT,WSH,23,0.5,0,5,
Brian Halonen,F,3,,UFA,BOS,28,0.0,0,1,
Arsenii Sergeev,G,3,,UFA,CGY,24,0.0,0,0,
Nicolas Deslauriers,F,3,,UFA,CAR,36,0.0,0,2,
Charles Alexis Legault,D,3,,UFA,CAR,24,0.0,0,3,
Kevin Korchinski,D,A,MINOR,GVR,CHI,23,0.5,0,5,
Wilmer Skoog,F,3,,UFA,DET,28,0.0,0,0,
Sam Lafferty,F,3,,UFA,FLA,32,0.0,0,4,
Andre Lee,F,3,,UFA,LAK,27,0.0,0,2,
Justin Kirkland,F,3,,UFA,MIN,31,0.0,0,0,
Tyler Pitlick,F,3,,UFA,MIN,35,0.0,0,0,
Jack Ahcan,D,3,,UFA,NSH,30,0.0,0,0,
Dennis Cholowski,D,3,,UFA,NYR,29,0.0,0,1,
Spencer Martin,G,3,,UFA,NYR,32,0.0,0,0,
Carter Yakemchuk,D,A,MINOR,JHN,OTT,21,0.5,0,40,
Michael Kesselring,D,3,,UFA,SJS,27,0.0,0,26,
Oscar Fisker Molgaard,F,3,,UFA,SEA,22,0.0,0,3,
Nikke Kokko,G,A,MINOR,BOT,SEA,23,0.5,0,6,
Mads Sogaard,G,3,,UFA,TBL,26,0.0,0,0,
Chris Tanev,D,3,,UFA,TOR,37,0.0,0,13,
Philippe Myers,D,3,,UFA,TOR,30,0.6,0,2,
Justin Holl,D,3,,UFA,WSH,35,0.0,0,2,
Tristan Luneau,D,3,,UFA,ANA,23,0.0,0,10,
Sam Colangelo,F,3,,UFA,ANA,25,0.0,0,4,
Travis Mitchell,D,3,,UFA,ANA,27,0.0,0,1,
James Hagens,F,A,MINOR,LPT,BOS,20,0.9,0,36,
Matthew Poitras,F,3,,UFA,BOS,23,0.0,0,9,
Ivan Ivan,F,3,,UFA,BOS,25,0.0,0,1,
Dennis Gilbert,D,3,,UFA,BUF,30,0.0,0,1,
Tyson Gross,F,3,,UFA,CGY,24,0.0,0,11,
Justin Robidas,F,3,,UFA,CAR,24,0.0,0,6,
Ethan Del Mastro,D,3,,UFA,CHI,24,0.0,0,2,
Dominic Toninato,F,3,,UFA,CHI,33,0.0,0,1,
Keaton Middleton,D,3,,UFA,COL,29,0.0,0,5,
Tristen Nielsen,F,3,,UFA,COL,27,0.0,0,1,
Luca Del Bel Belluz,F,3,,UFA,CBJ,23,0.0,0,23,
Mikael Pyyhtia,F,3,,UFA,CBJ,25,0.0,0,4,
Cameron Hughes,F,3,,UFA,DAL,30,0.0,0,0,
Michael Brandsegg-Nygard,F,A,MINOR,JHN,DET,21,0.5,0,10,
Quinn Hutson,F,3,,UFA,EDM,25,0.0,0,1,
Angus Crookshank,F,3,,UFA,FLA,27,0.0,0,0,
Mikulas Hovorka,D,3,,UFA,FLA,26,0.0,0,0,
Matt Kiersted,D,3,,UFA,MIN,29,0.0,0,2,
Owen Beck,F,3,,UFA,MTL,23,0.0,0,17,
Jared Davidson,F,3,,UFA,MTL,25,0.0,0,1,
Adam Engstrom,D,3,,UFA,MTL,23,0.0,0,8,
David Reinbacher,D,A,MINOR,JHN,MTL,22,0.7,0,19,
Brady Martin,F,A,MINOR,LGN,NSH,20,0.7,0,4,
Riley Tufte,F,3,,UFA,NJD,29,0.0,0,0,
Victor Eklund,F,A,MINOR,LPT,NYI,20,0.6,0,49,
Isaiah George,D,3,,UFA,NYI,23,0.0,0,4,
Alexander Romanov,D,3,,UFA,NYI,27,0.5,0,19,
Mitchell Chaffee,F,3,,UFA,NYI,29,0.0,0,2,
Matt Luff,F,3,,UFA,NYI,30,0.0,0,0,
Matt Rempe,F,3,,UFA,NYR,25,0.0,0,4,
Anton Blidh,F,3,,UFA,NYR,32,0.0,0,0,
Kurtis MacDermid,F,3,,UFA,OTT,33,0.0,0,0,
Cameron Crotty,D,3,,UFA,OTT,28,0.0,0,0,
Philip Tomasino,F,3,,UFA,OTT,26,0.5,0,10,
Nolan Foote,F,3,,UFA,PHI,26,0.0,0,1,
Hunter McDonald,D,3,,UFA,PHI,25,0.0,0,1,
Ryan Graves,D,3,,UFA,PIT,32,0.6,0,4,
Caleb Jones,D,3,,UFA,PIT,30,0.0,0,2,
Alex Barre-Boulet,F,3,,UFA,SJS,30,0.5,0,8,
Ethan Cardwell,F,3,,UFA,SJS,25,0.0,0,1,
Patrick Giles,F,3,,UFA,SJS,27,0.0,0,0,
