PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Stuart Skinner,G,2,START,SHF,EDM,26,5.6,0,64,
Adam Fox,D,2,START,LGN,NYR,27,5.0,0,71,
Jared McCann,F,3,,UFA,SEA,29,0,0,60,
Tomas Hertl,F,3,,UFA,VGK,31,0,0,57,
Gabriel Vilardi,F,2,START,ZSK,WPG,26,0.9,0,58,
Pyotr Kochetkov,G,RFA1,,RFA,CAR,26,0,0,55,
Kevin Fiala,F,3,,UFA,LAK,29,0,0,67,
Marco Rossi,F,B,MINOR,GVR,MIN,23,1.8,0,61,
Joey Daccord,G,3,,UFA,SEA,29,0,0,57,
Dylan Guenther,F,A,START,LPT,UTA,22,0.8,0,64,
Patrick Kane,F,3,,UFA,DET,36,0,0,58,
Vincent Trocheck,F,3,,UFA,NYR,32,0,0,63,
Anthony Cirelli,F,3,,UFA,TBL,28,0,0,51,
Teuvo Teravainen,F,3,,UFA,CHI,31,0,0,50,
William Eklund,F,A,START,LGN,SJS,22,0.9,0,56,
Filip Hronek,D,3,START,BOT,VAN,27,2.0,0,43,
Morgan Geekie,F,3,,UFA,BOS,27,0,0,50,
Kent Johnson,F,A,START,ZSK,CBJ,22,0.7,0,57,
Sean Monahan,F,3,,UFA,CBJ,30,0,0,61,
Matthew Tkachuk,F,3,START,VPP,FLA,27,5.0,0,61,
Bo Horvat,F,3,,UFA,NYI,30,0,0,60,
Jake Sanderson,D,C,START,SRL,OTT,23,1.4,0,55,
Pavel Buchnevich,F,3,START,JHN,STL,30,2.4,0,59,
Joseph Woll,G,F,START,GVR,TOR,27,1.2,0,49,
Shea Theodore,D,3,START,LGN,VGK,30,3.2,0,58,
Connor McMichael,F,C,START,GVR,WSH,24,1.2,0,58,
Jeremy Swayman,G,3,START,VPP,BOS,26,1.4,0,59,
Brock Nelson,F,3,START,ZSK,COL,33,1.4,0,59,
Kirill Kaprizov,F,2,START,LPT,MIN,28,6.9,0,93,
Jonathan Marchessault,F,3,,UFA,NSH,34,0,0,60,
Troy Terry,F,RFA2,,RFA,ANA,28,0,0,57,
Elvis Merzlikins,G,3,,UFA,CBJ,31,0,0,44,
Brady Tkachuk,F,2,START,VPP,OTT,25,3.0,0,69,
Karel Vejmelka,G,3,,UFA,UTA,29,0,0,57,
Ukko-Pekka Luukkonen,G,2,START,LGN,BUF,26,2.4,0,57,
Adam Fantilli,F,A,MINOR,GVR,CBJ,20,0.9,0,56,
Quinton Byfield,F,B,START,LGN,LAK,23,1.5,0,60,
Mats Zuccarello,F,3,,UFA,MIN,38,0,0,59,
Anders Lee,F,3,,UFA,NYI,35,0,0,43,
Tyler Toffoli,F,3,,UFA,SJS,33,0,0,55,
Anthony Stolarz,G,3,,UFA,TOR,31,0,0,61,
Ryan McLeod,F,3,,UFA,BUF,25,0,0,43,
Jason Zucker,F,3,,UFA,BUF,33,0,0,44,
Carter Verhaeghe,F,3,START,VPP,FLA,30,3.7,0,64,
Ryan O'Reilly,F,3,,UFA,NSH,34,0,0,53,
Steven Stamkos,F,3,,UFA,NSH,35,0,0,62,
Timo Meier,F,RFA2,,RFA,NJD,28,0,0,55,
Erik Karlsson,D,3,,UFA,PIT,35,0,0,61,
Mikhail Sergachev,D,3,START,LPT,UTA,27,3.0,0,54,
Juuse Saros,G,3,,UFA,NSH,30,0,0,62,
Pavel Dorofeyev,F,3,START,GVR,VGK,24,0.5,0,52,
Mason McTavish,F,A,START,LPT,ANA,22,0.5,0,52,
Sam Bennett,F,3,,UFA,FLA,29,0,0,48,
Brad Marchand,F,3,,UFA,FLA,37,0,0,58,
Juraj Slafkovsky,F,A,MINOR,ZSK,MTL,21,0.9,0,54,
Chandler Stephenson,F,3,,UFA,SEA,31,0,0,48,
Ivan Barbashev,F,3,,UFA,VGK,29,0,0,52,
John Carlson,D,3,,UFA,WSH,35,0,0,54,
Thomas Harley,D,C,START,MAC,DAL,24,1.4,0,51,
Claude Giroux,F,3,,UFA,OTT,37,0,0,52,
Evgeni Malkin,F,3,,UFA,PIT,39,0,0,55,
Brayden Schenn,F,3,,UFA,STL,34,0,0,48,
Brock Boeser,F,3,START,LGN,VAN,28,3.2,0,58,
Conor Garland,F,3,,UFA,VAN,29,0,0,54,
Cole Perfetti,F,B,MINOR,GVR,WPG,23,1.3,0,51,
Lukas Dostal,G,RFA1,,RFA,ANA,25,0,0,50,
Jamie Benn,F,3,,UFA,DAL,36,0,0,51,
Ryan Nugent-Hopkins,F,3,,UFA,EDM,32,0,0,58,
Jaden Schwartz,F,3,,UFA,SEA,33,0,0,44,
Andrei Svechnikov,F,3,START,SHF,CAR,25,3.8,0,56,
Cam Talbot,G,3,,UFA,DET,38,0,0,45,
Kyle Palmieri,F,3,,UFA,NYI,34,0,0,48,
Samuel Ersson,G,3,START,BOT,PHI,25,0.5,0,42,
Jake DeBrusk,F,3,,UFA,VAN,28,0,0,49,
Elias Lindholm,F,3,START,VPP,BOS,30,3.2,0,48,
Pavel Zacha,F,3,START,VPP,BOS,28,1.3,0,54,
Matt Coronato,F,A,MINOR,LPT,CGY,22,0.5,0,48,
MacKenzie Weegar,D,3,,UFA,CGY,31,0,0,47,
Dmitri Voronkov,F,3,START,JHN,CBJ,25,0.5,0,46,
Dylan Cozens,F,C,START,JHN,OTT,24,0.6,0,53,
Mason Marchment,F,3,START,HSM,SEA,30,0.8,0,49,
Jakob Chychrun,D,3,,UFA,WSH,27,0,0,47,
Tyler Bertuzzi,F,3,START,HSM,CHI,30,0.7,0,41,
Moritz Seider,D,C,START,GVR,DET,24,1.2,0,52,
Warren Foegele,F,3,,UFA,LAK,29,0,0,46,
Jake Neighbours,F,B,START,LPT,STL,23,0.6,0,45,
Pius Suter,F,3,,UFA,STL,29,0,0,40,
Oliver Bjorkstrand,F,3,,UFA,TBL,30,0,0,48,
Barrett Hayton,F,RFA1,,RFA,UTA,25,0,0,44,
Leo Carlsson,F,A,START,LGN,ANA,20,0.9,0,49,
Frank Vatrano,F,3,START,SHF,ANA,31,0.5,0,47,
Shayne Gostisbehere,D,3,,UFA,CAR,32,0,0,51,
Artturi Lehkonen,F,3,,UFA,COL,30,0,0,51,
Anton Lundell,F,B,START,GVR,FLA,23,0.8,0,46,
Simon Holmstrom,F,3,,UFA,NYI,24,0,0,41,
Will Cuylle,F,3,START,LGN,NYR,23,0.6,0,42,
Alexis Lafreniere,F,B,START,GVR,NYR,23,1.0,0,55,
Dylan Holloway,F,B,START,BOT,STL,23,1.6,0,58,
Sean Couturier,F,3,,UFA,PHI,32,0,0,40,
Will Smith,F,A,START,VPP,SJS,20,0.8,0,55,
Elias Pettersson (F),F,2,START,HSM,VAN,26,3.1,0,71,
Cutter Gauthier,F,A,START,LPT,ANA,21,0.8,0,46,
Devon Toews,D,3,,UFA,COL,31,0,0,47,
Zach Hyman,F,3,,UFA,EDM,33,0,0,58,
Calvin Pickard,G,3,,UFA,EDM,33,0,0,41,
Luke Hughes,D,A,START,VPP,NJD,22,0.5,0,45,
Kaapo Kakko,F,C,START,SHF,SEA,24,0.9,0,46,
Matthew Knies,F,B,START,BOT,TOR,22,1.2,0,59,
Jackson LaCombe,D,3,,UFA,ANA,24,0,0,43,
Phillip Danault,F,3,,UFA,LAK,32,0,0,44,
Tyson Foerster,F,B,MINOR,LGN,PHI,23,0.5,0,45,
Owen Tippett,F,2,START,JHN,PHI,26,0.9,0,47,
Matty Beniers,F,A,START,LGN,SEA,22,0.9,0,53,
Charlie Lindgren,G,3,START,MAC,WSH,31,0.6,0,44,
Taylor Hall,F,3,START,HSM,CAR,33,0.9,0,38,
Alex Laferriere,F,3,START,LGN,LAK,23,0.6,0,44,
Jean-Gabriel Pageau,F,3,,UFA,NYI,32,0,0,36,
Ryan Strome,F,3,,UFA,ANA,32,0,0,40,
Stefan Noesen,F,3,,UFA,NJD,32,0,0,41,
Fabian Zetterlund,F,3,,UFA,OTT,26,0,0,39,
Dylan Strome,F,2,START,BOT,WSH,28,0.9,0,75,
Brandon Montour,D,3,,UFA,SEA,31,0,0,45,
Nick Paul,F,3,,UFA,TBL,30,0,0,41,
Morgan Rielly,D,3,START,MAC,TOR,31,3.2,0,48,
Casey Mittelstadt,F,2,START,VPP,BOS,26,1.9,0,46,
Owen Power,D,A,START,LGN,BUF,22,0.9,0,39,
Spencer Knight,G,C,MINOR,GVR,CHI,24,0.5,0,40,
Jake Walman,D,3,,UFA,EDM,29,0,0,37,
Trevor Moore,F,3,START,HSM,LAK,30,0.7,0,44,
Evgenii Dadonov,F,3,,UFA,NJD,36,0,0,33,
Dougie Hamilton,D,3,,UFA,NJD,32,0,0,50,
Cam Fowler,D,3,,UFA,STL,33,0,0,47,
Kiefer Sherwood,F,3,,UFA,VAN,30,0,0,34,
Brett Howden,F,3,,UFA,VGK,27,0,0,32,
Reilly Smith,F,3,,UFA,VGK,34,0,0,39,
Jack Quinn,F,B,START,VPP,BUF,23,0.6,0,49,
Blake Coleman,F,3,,UFA,CGY,33,0,0,41,
Noah Dobson,D,RFA1,,RFA,MTL,25,0,0,55,
Vince Dunn,D,3,,UFA,SEA,28,0,0,50,
Noah Hanifin,D,3,,UFA,VGK,28,0,0,43,
Neal Pionk,D,3,,UFA,WPG,30,0,0,39,
Bowen Byram,D,RFA1,,RFA,BUF,24,0,0,38,
Logan Stankoven,F,B,START,SRL,CAR,22,0.6,0,50,
Brendan Gallagher,F,3,,UFA,MTL,33,0,0,33,
Michael Bunting,F,3,,UFA,NSH,29,0,0,42,
Roman Josi,D,3,START,LPT,NSH,35,5.4,0,62,
Jake Allen,G,3,,UFA,NJD,35,0,0,31,
Tristan Jarry,G,3,,UFA,PIT,30,0,0,47,
Vladislav Namestnikov,F,3,,UFA,WPG,32,0,0,35,
Alex Killorn,F,3,,UFA,ANA,36,0,0,39,
Morgan Frost,F,3,,UFA,CGY,26,0,0,45,
Andre Burakovsky,F,3,,UFA,CHI,30,0,0,37,
Marco Kasper,F,A,MINOR,SRL,DET,21,0.5,0,42,
Andrei Kuzmenko,F,3,START,MAC,LAK,29,0.6,0,46,
Jonathan Drouin,F,3,,UFA,NYI,30,0,0,50,
Shane Pinto,F,3,START,LGN,OTT,24,0.6,0,44,
Noah Cates,F,3,START,JHN,PHI,26,0.5,0,34,
Frederick Gaudreau,F,3,,UFA,SEA,32,0,0,30,
Darren Raddysh,D,3,,UFA,TBL,29,0,0,34,
Nino Niederreiter,F,3,,UFA,WPG,33,0,0,35,
Jordan Martinook,F,3,,UFA,CAR,33,0,0,33,
Jordan Staal,F,3,,UFA,CAR,37,0,0,32,
James Van Riemsdyk,F,3,,UFA,DET,36,0,0,31,
Seth Jones,D,3,,UFA,FLA,30,0,0,41,
Zack Bolduc,F,A,MINOR,LGN,MTL,22,0.5,0,41,
Jake Evans,F,3,,UFA,MTL,29,0,0,30,
Dawson Mercer,F,C,MINOR,BOT,NJD,23,0.5,0,43,
Colton Parayko,D,3,,UFA,STL,32,0,0,35,
Josh Norris,F,3,,UFA,BUF,26,0,0,43,
Nick Foligno,F,3,,UFA,CHI,37,0,0,29,
Charlie Coyle,F,3,,UFA,CBJ,33,0,0,38,
Maxim Tsyplakov,F,3,,UFA,NYI,26,0,0,36,
Alexander Wennberg,F,3,,UFA,SJS,30,0,0,34,
Eeli Tolvanen,F,3,,UFA,SEA,26,0,0,41,
Joel Hofer,G,D,MINOR,BOT,STL,25,0.5,0,32,
Jackson Blake,F,3,,UFA,CAR,22,0,0,43,
Ilya Mikheyev,F,3,,UFA,CHI,30,0,0,32,
Valeri Nichushkin,F,3,,UFA,COL,30,0,0,50,
Scott Wedgewood,G,3,,UFA,COL,33,0,0,35,
Casey Desmith,G,3,,UFA,DAL,34,0,0,28,
Marcus Johansson,F,3,,UFA,MIN,34,0,0,31,
Ridly Greig,F,3,,UFA,OTT,23,0,0,37,
Bobby McMann,F,3,,UFA,TOR,29,0,0,35,
Adam Lowry,F,3,,UFA,WPG,32,0,0,31,
Mason Lohrei,D,3,START,LPT,BOS,24,0.5,0,33,
Jesperi Kotkaniemi,F,3,,UFA,CAR,25,0,0,37,
Ivan Provorov,D,3,,UFA,CBJ,28,0,0,34,
Cole Sillinger,F,B,START,LPT,CBJ,22,0.5,0,39,
Mattias Ekholm,D,3,,UFA,EDM,35,0,0,39,
Darnell Nurse,D,3,START,VPP,EDM,30,0.8,0,35,
Aaron Ekblad,D,3,,UFA,FLA,29,0,0,36,
Brandt Clarke,D,A,MINOR,LGN,LAK,22,0.5,0,39,
Vladimir Tarasenko,F,3,,UFA,MIN,33,0,0,41,
Patrik Laine,F,3,START,JHN,MTL,27,2.3,0,46,
Brady Skjei,D,3,,UFA,NSH,31,0,0,36,
Christian Dvorak,F,3,,UFA,PHI,29,0,0,29,
Max Domi,F,3,,UFA,TOR,30,0,0,39,
Shane Wright,F,A,MINOR,BOT,SEA,21,0.9,0,46,
Mikael Backlund,F,3,,UFA,CGY,36,0,0,38,
Yegor Sharangovich,F,3,,UFA,CGY,27,0,0,43,
Eric Robinson,F,3,,UFA,CAR,30,0,0,24,
Mathieu Olivier,F,3,,UFA,CBJ,28,0,0,27,
J.T. Compher,F,3,,UFA,DET,30,0,0,34,
Evan Rodrigues,F,3,,UFA,FLA,32,0,0,34,
Jared Spurgeon,D,3,,UFA,MIN,35,0,0,31,
David Rittich,G,3,,UFA,NYI,33,0,0,19,
Trevor Zegras,F,3,,UFA,PHI,24,0,0,53,
Justin Faulk,D,3,,UFA,STL,33,0,0,35,
Luke Evangelista,F,3,,UFA,NSH,23,0,0,42,
Ryan Poehling,F,3,,UFA,ANA,26,0,0,30,
Joonas Korpisalo,G,3,,UFA,BOS,31,0,0,30,
Alex Lyon,G,3,,UFA,BUF,32,0,0,23,
Rasmus Andersson,D,3,,UFA,CGY,28,0,0,38,
Simon Edvinsson,D,A,MINOR,LGN,DET,22,0.5,0,32,
Gustav Forsling,D,3,,UFA,FLA,29,0,0,37,
Mackie Samoskevich,F,A,MINOR,ZSK,FLA,22,0.5,0,44,
Anton Forsberg,G,3,,UFA,LAK,32,0,0,34,
Mike Matheson,D,3,,UFA,MTL,31,0,0,35,
Jonathan Quick,G,3,,UFA,NYR,39,0,0,27,
Alex Nedeljkovic,G,3,,UFA,SJS,29,0,0,30,
Yanni Gourde,F,3,START,SRL,TBL,33,0.5,0,35,
Ryan McDonagh,D,3,,UFA,TBL,36,0,0,28,
Scott Laughton,F,3,,UFA,TOR,31,0,0,31,
Nicolas Roy,F,3,,UFA,TOR,28,0,0,38,
Alex Iafallo,F,3,,UFA,WPG,31,0,0,30,
Chris Kreider,F,3,,UFA,ANA,34,0,0,46,
Alex Vlasic,D,3,,UFA,CHI,24,0,0,29,
Corey Perry,F,3,,UFA,LAK,40,0,0,26,
Justus Annunen,G,D,START,LPT,NSH,25,0.5,0,23,
Connor Brown,F,3,,UFA,NJD,31,0,0,27,
Vladislav Gavrikov,D,3,,UFA,NYR,29,0,0,28,
Travis Sanheim,D,3,,UFA,PHI,29,0,0,37,
Daniel Vladar,G,3,,UFA,PHI,28,0,0,33,
Kris Letang,D,3,,UFA,PIT,38,0,0,36,
Keegan Kolesar,F,3,,UFA,VGK,28,0,0,26,
Brandon Saad,F,3,,UFA,VGK,32,0,0,32,
Rasmus Sandin,D,3,START,SRL,WSH,25,0.8,0,31,
Michael Kesselring,D,3,,UFA,BUF,25,0,0,35,
Frederik Andersen,G,3,,UFA,CAR,35,0,0,53,
Brent Burns,D,3,,UFA,COL,40,0,0,34,
Ross Colton,F,3,,UFA,COL,29,0,0,39,
Victor Olofsson,F,3,,UFA,COL,30,0,0,32,
Joel Armia,F,3,,UFA,LAK,32,0,0,24,
Joel Eriksson Ek,F,3,START,HSM,MIN,28,1.5,0,50,
Brock Faber,D,C,START,LPT,MIN,23,1.2,0,40,
Marcus Foligno,F,3,,UFA,MIN,34,0,0,27,
Danton Heinen,F,3,,UFA,PIT,30,0,0,30,
Jeff Skinner,F,3,,UFA,SJS,33,0,0,36,
Philip Broberg,D,3,START,JHN,STL,24,1.2,0,29,
Oliver Ekman-Larsson,D,3,,UFA,TOR,34,0,0,31,
Marcus Pettersson,D,3,,UFA,VAN,29,0,0,28,
William Karlsson,F,3,,UFA,VGK,32,0,0,46,
Zach Benson,F,A,MINOR,JHN,BUF,20,0.7,0,40,
Bobby Brink,F,C,MINOR,BOT,PHI,24,0.5,0,41,
Andrew Mangiapane,F,3,,UFA,EDM,29,0,0,33,
Ondrej Palat,F,3,,UFA,NJD,34,0,0,28,
Jordan Spence,D,3,,UFA,OTT,24,0,0,30,
Dmitry Orlov,D,3,,UFA,SJS,34,0,0,27,
Adam Larsson,D,3,,UFA,SEA,32,0,0,25,
Alexander Kerfoot,F,3,,UFA,UTA,31,0,0,31,
Kevin Stenlund,F,3,,UFA,UTA,28,0,0,24,
Gustav Nyquist,F,3,START,LGN,WPG,36,1.8,0,43,
Petr Mrazek,G,3,,UFA,ANA,33,0,0,23,
Viktor Arvidsson,F,3,,UFA,BOS,32,0,0,41,
Connor Zary,F,B,MINOR,SRL,CGY,23,0.5,0,43,
K'Andre Miller,D,3,,UFA,CAR,25,0,0,33,
Jaccob Slavin,D,3,,UFA,CAR,31,0,0,32,
Adam Henrique,F,3,,UFA,EDM,35,0,0,32,
Josh Anderson,F,3,,UFA,MTL,31,0,0,24,
Taylor Raddysh,F,3,,UFA,NYR,27,0,0,25,
