"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Paul Cotter                                3","F","UFA","VAN","27","$0.0","79","15","0.2"
"Jamie Oleksiak                                3","D","UFA","VAN","34","$0.0","78","15","0.2"
"Beck Malenstyn                                3","F","UFA","BUF","29","$0.0","81","14","0.2"
"Sam Rinzel                                A","D","LGN","CHI","23","$0.5","54","14","0.3"
"Miles Wood                                3","F","UFA","CBJ","32","$0.0","54","14","0.3"
"Mason Appleton                                3","F","UFA","DET","31","$0.0","65","14","0.2"
"Michael Rasmussen                                3","F","UFA","DET","28","$0.5","64","14","0.2"
"Alex Turcotte                                3","F","UFA","LAK","26","$0.8","62","14","0.2"
"Nikita Grebenkin                                3","F","UFA","PHI","24","$0.0","55","14","0.3"
"Rasmus Ristolainen                                3","D","UFA","PHI","32","$0.8","44","14","0.3"
"Trevor van Riemsdyk                                3","D","UFA","PIT","36","$0.0","68","14","0.2"
"Sam Dickinson                                A","D","JHN","SJS","21","$0.7","72","14","0.2"
"Ross Johnston                                3","F","UFA","STL","33","$0.0","62","14","0.2"
"Troy Stecher                                3","D","UFA","TOR","33","$0.6","64","14","0.2"
"Andrew Peeke                                3","D","UFA","UTA","29","$0.0","77","14","0.2"
"Aatu Raty                                B","F","VPP","VAN","24","$0.6","66","14","0.2"
"Vladislav Namestnikov                                3","F","UFA","WPG","34","$0.5","60","14","0.2"
"Dylan Samberg                                3","D","UFA","WPG","28","$0.0","66","14","0.2"
"Jonathan Aspirot                                3","D","UFA","BOS","28","$0.0","61","13","0.2"
"Gavin Brindley                                3","F","UFA","COL","22","$0.0","56","13","0.2"
"Colton Dach                                3","F","UFA","EDM","24","$0.0","61","13","0.2"
"Radko Gudas                                3","D","UFA","FLA","37","$0.0","56","13","0.2"
"Marcus Foligno                                3","F","UFA","MIN","36","$0.0","56","13","0.2"
"Alexander Kerfoot                                3","F","UFA","NSH","33","$0.0","34","13","0.4"
"Nick Perbix                                3","D","UFA","NSH","29","$0.0","79","13","0.2"
"Jesper Boqvist                                3","F","UFA","NJD","28","$0.0","73","13","0.2"
"Vitek Vanecek                                3","G","UFA","NYI","31","$5.5","22","13","0.6"
"Carl Grundstrom                                3","F","UFA","PHI","29","$0.0","47","13","0.3"
"Elmer Soderblom                                3","F","UFA","PIT","26","$0.0","59","13","0.2"
"Logan Mailloux                                3","D","UFA","STL","24","$0.0","67","13","0.2"
"Dennis Hildeby                                3","G","UFA","TBL","26","$0.0","20","13","0.7"
"Emil Andrae                                3","D","UFA","TOR","25","$0.0","61","13","0.2"
"Jeremy Lauzon                                3","D","UFA","VGK","30","$0.0","68","13","0.2"
"Yan Kuznetsov                                3","D","UFA","CGY","25","$0.0","57","12","0.2"
"Cole Smith                                3","F","UFA","CHI","31","$0.0","63","12","0.2"
"Brett Kulak                                3","D","UFA","COL","33","$0.0","83","12","0.1"
"Danton Heinen                                3","F","UFA","CBJ","32","$0.0","46","12","0.3"
"Isac Lundestrom                                3","F","UFA","CBJ","27","$0.0","68","12","0.2"
"Oskar Back                                3","F","UFA","DAL","27","$0.0","72","12","0.2"
"Ty Emberson                                3","D","UFA","EDM","27","$0.0","72","12","0.2"
"Shakir Mukhamadullin                                3","D","UFA","EDM","25","$0.0","50","12","0.2"
"Jayden Struble                                3","D","UFA","MTL","26","$0.0","59","12","0.2"
"Barclay Goodrow                                3","F","UFA","SJS","34","$0.8","82","12","0.1"
"Emil Lilleberg                                3","D","UFA","TBL","26","$0.0","50","12","0.2"
"Nikita Tolopilo                                3","G","UFA","VAN","27","$0.0","21","12","0.6"
"Brayden McNabb                                3","D","UFA","VGK","36","$0.0","63","12","0.2"
"Neal Pionk                                3","D","UFA","WPG","32","$1.4","51","12","0.2"
"Dante Fabbro                                3","D","UFA","CBJ","29","$0.5","74","11","0.1"
"Nils Lundkvist                                3","D","UFA","DAL","27","$0.5","52","11","0.2"
"Tyler Myers                                3","D","UFA","DAL","37","$1.1","73","11","0.2"
"Albert Johansson                                3","D","UFA","DET","26","$0.0","82","11","0.1"
"Mathieu Joseph                                3","F","UFA","EDM","30","$0.0","51","11","0.2"
"Niko Mikkola                                3","D","UFA","FLA","31","$0.5","68","11","0.2"
"Nico Sturm                                3","F","UFA","MIN","32","$0.0","49","11","0.2"
"Kaiden Guhle                                3","D","UFA","MTL","25","$0.5","39","11","0.3"
"Ryan Ufko                                3","D","LGN","NSH","24","$0.5","18","11","0.6"
"Stephen Halliday                                3","F","UFA","OTT","25","$0.0","30","11","0.4"
"Ty Dellandrea                                3","F","UFA","SJS","27","$0.5","46","11","0.2"
"Alexey Toropchenko                                3","F","UFA","STL","28","$0.0","65","11","0.2"
"Nathan Walker                                3","F","UFA","STL","33","$0.0","46","11","0.2"
"Erik Cernak                                3","D","UFA","TBL","30","$0.0","61","11","0.2"
"Colton Sissons                                3","F","UFA","TOR","33","$0.0","66","11","0.2"
"Timothy Liljegren                                3","D","UFA","WSH","28","$0.5","47","11","0.2"
"Joel Nystrom                                3","D","UFA","CAR","25","$0.0","38","10","0.3"
"Noah Juulsen                                3","D","UFA","COL","30","$0.0","52","10","0.2"
"Zakhar Bardakov                                3","F","UFA","COL","26","$0.0","60","10","0.2"
"Spencer Stastney                                3","D","UFA","EDM","27","$0.0","66","10","0.2"
"Calvin Pickard                                3","G","UFA","MIN","35","$0.5","16","10","0.6"
"Porter Martone                                A","F","VPP","PHI","20","$0.8","9","10","1.1"
"Nick Seeler                                3","D","UFA","PHI","34","$0.0","80","10","0.1"
"Otto Stenberg                                3","F","UFA","STL","22","$0.0","32","10","0.3"
"Jeffrey Viel                                3","F","UFA","TBL","30","$0.0","45","10","0.2"
"Max Crozier                                3","D","UFA","TBL","27","$0.0","35","10","0.3"
"Elias Pettersson                                3","D","UFA","VAN","23","$0.0","70","10","0.1"
"Cole Hutson                                A","D","SRL","WSH","21","$0.5","14","10","0.7"
"Isak Rosen                                B","F","LGN","WPG","24","$0.5","37","10","0.3"
"Jeff Malott                                3","F","UFA","ANA","31","$0.0","58","9","0.2"
"Frank Vatrano                                3","F","UFA","ANA","33","$0.5","50","9","0.2"
"Nikita Nesterenko                                3","F","UFA","ANA","26","$0.0","29","9","0.3"
"Zayne Parekh                                A","D","LGN","CGY","21","$0.9","37","9","0.2"
"Jesperi Kotkaniemi                                3","F","UFA","CAR","27","$0.5","42","9","0.2"
"Anton Frondell                                A","F","LGN","CHI","20","$0.8","12","9","0.8"
"Ryan Lomberg                                3","F","UFA","CBJ","32","$0.0","57","9","0.2"
"Joel Kiviranta                                3","F","UFA","DAL","31","$0.0","51","9","0.2"
"Samuel Helenius                                3","F","UFA","LAK","24","$0.0","53","9","0.2"
"Cody Ceci                                3","D","UFA","LAK","33","$0.6","82","9","0.1"
"Justin Barron                                3","D","UFA","NSH","25","$0.5","52","9","0.2"
"Ilya Lyubushkin                                3","D","UFA","NSH","33","$0.0","53","9","0.2"
"Nick Bjugstad                                3","F","UFA","NJD","35","$1.1","61","9","0.1"
"Alex Bump                                3","F","UFA","PHI","23","$0.0","17","9","0.5"
"Ryan Lin                                3","D","UFA","SJS","19","$0.0","76","9","0.1"
"Ryan Lindgren                                3","D","UFA","SEA","29","$0.0","76","9","0.1"
"Brandon Duhaime                                3","F","UFA","TOR","30","$0.0","82","9","0.1"
"Alexander Holtz                                C","F","LGN","VGK","25","$0.7","28","9","0.3"
"Noah Gregor                                3","F","UFA","WPG","29","$0.0","37","9","0.2"
"Lukas Reichel                                C","F","BOT","BOS","25","$0.5","29","8","0.3"
"Conor Timmins                                3","D","UFA","BUF","28","$0.5","39","8","0.2"
"Jaccob Slavin                                3","D","UFA","CAR","33","$0.7","39","8","0.2"
"Lian Bichsel                                3","D","UFA","DAL","23","$0.0","50","8","0.2"
"Jacob Bryson                                3","D","UFA","DET","29","$0.0","50","8","0.2"
"Mattias Janmark                                3","F","UFA","EDM","34","$0.7","43","8","0.2"
"Donovan Sebrango                                3","D","UFA","FLA","25","$0.0","42","8","0.2"
"Reid Schaefer                                3","F","UFA","NSH","23","$0.0","47","8","0.2"
"Lenni Hameenaho                                3","F","UFA","NJD","22","$0.0","33","8","0.2"
"Johnathan Kovacevic                                3","D","UFA","NJD","30","$0.0","34","8","0.2"
"Sammy Blais                                3","F","UFA","OTT","31","$0.0","21","8","0.4"
"Ilya Solovyov                                3","D","UFA","PIT","27","$0.0","30","8","0.3"
"Jansen Harkins                                3","F","UFA","TBL","30","$0.0","44","8","0.2"
"Nick DeSimone                                3","D","UFA","UTA","32","$0.0","40","8","0.2"
"Hunter Brzustewicz                                A","D","SRL","CGY","22","$0.5","34","7","0.2"
"Brayden Pachal                                3","D","UFA","CGY","28","$0.0","39","7","0.2"
"Joel Hanley                                3","D","UFA","CGY","36","$0.0","68","7","0.1"
"Landon Slaggert                                3","F","UFA","CHI","25","$0.0","53","7","0.1"
"Drew Commesso                                C","G","BOT","CHI","25","$0.5","3","7","2.3"
"Nate Danielson                                A","F","SHF","DET","22","$0.5","28","7","0.3"
"Trent Frederic                                3","F","UFA","EDM","29","$0.5","74","7","0.1"
"Cole Schwindt                                3","F","UFA","FLA","26","$0.0","29","7","0.2"
"John Beecher                                3","F","UFA","FLA","26","$0.0","35","7","0.2"
"Taylor Ward                                3","F","UFA","LAK","29","$0.0","36","7","0.2"
"Stefan Noesen                                3","F","UFA","NJD","34","$2.4","38","7","0.2"
"Declan Chisholm                                3","D","UFA","NJD","27","$0.0","26","7","0.3"
"Brett Pesce                                3","D","UFA","NJD","32","$0.5","37","7","0.2"
"Kyle MacLean                                3","F","UFA","NYI","28","$0.0","59","7","0.1"
"Ville Koivunen                                B","F","LPT","PIT","24","$0.5","39","7","0.2"
"Zack Ostapchuk                                3","F","UFA","SJS","24","$0.0","59","7","0.1"
"Jani Nyman                                3","F","UFA","SEA","23","$0.0","28","7","0.3"
"Brandon Carlo                                3","D","UFA","STL","30","$0.0","55","7","0.1"
"Daniil But                                3","F","UFA","UTA","22","$0.0","29","7","0.2"
"Luke Schenn                                3","D","UFA","VAN","37","$0.0","50","7","0.1"
"Marc Gatcomb                                3","F","UFA","VGK","28","$0.0","49","7","0.1"
"William Karlsson                                3","F","UFA","VGK","34","$1.1","14","7","0.5"
"Vincent Desharnais                                3","D","UFA","WSH","31","$0.0","53","7","0.1"
"Jack St. Ivany                                3","D","UFA","WPG","28","$0.0","20","7","0.4"
"Connor Clifton                                3","D","UFA","BOS","32","$0.0","50","6","0.1"
"Brendan Gaunce                                3","F","UFA","BOS","33","$0.0","25","6","0.2"
"Tyson Kozak                                3","F","UFA","BUF","24","$0.0","46","6","0.1"
"Zach Metsa                                3","D","UFA","BUF","28","$0.0","43","6","0.1"
"Mike Benning                                3","D","UFA","CGY","25","$0.0","18","6","0.3"
"Jordan Greenway                                3","F","UFA","CHI","30","$0.6","40","6","0.2"
"Zach Bogosian                                3","D","UFA","MIN","37","$0.0","41","6","0.1"
"Daemon Hunt                                3","D","UFA","MIN","25","$0.0","32","6","0.2"
"Urho Vaakanainen                                3","D","UFA","NYR","28","$0.0","34","6","0.2"
"Jaroslav Chmelar                                3","F","UFA","NYR","24","$0.0","28","6","0.2"
"Scott Morrow                                3","D","UFA","NYR","24","$0.0","29","6","0.2"
"Simon Benoit                                3","D","UFA","PHI","28","$0.0","73","6","0.1"
"Rutger McGroarty                                A","F","LGN","PIT","23","$0.5","24","6","0.3"
"Clay Stevenson                                3","G","UFA","WSH","28","$0.0","4","6","1.5"
"Brad Lambert                                3","F","UFA","WPG","23","$0.0","25","6","0.2"
"Tim Washe                                3","F","UFA","ANA","26","$0.0","39","5","0.1"
"Jiri Kulich                                A","F","LGN","BUF","23","$0.6","12","5","0.4"
"Trent Miner                                3","G","UFA","COL","26","$0.0","4","5","1.3"
"Arttu Hyry                                3","F","UFA","DAL","26","$0.0","20","5","0.3"
"Kyle Capobianco                                3","D","UFA","DAL","30","$0.0","33","5","0.2"
"Jacob Bernard-Docker                                3","D","UFA","DET","27","$0.0","63","5","0.1"
"Isaac Howard                                A","F","JHN","EDM","23","$0.6","29","5","0.2"
"Max Jones                                3","F","UFA","EDM","29","$0.0","21","5","0.2"
"Sandis Vilmanis                                3","F","UFA","FLA","23","$0.0","19","5","0.3"
"Adam Edstrom                                3","F","UFA","NSH","26","$0.0","35","5","0.1"
"Nils Hoglander                                3","F","UFA","NSH","26","$0.5","38","5","0.1"
"Ozzy Wiesblatt                                3","F","UFA","NSH","25","$0.0","40","5","0.1"
"Joe Veleno                                3","F","UFA","NYR","27","$0.5","61","5","0.1"
"Nikolas Matinpalo                                3","D","UFA","OTT","28","$0.0","50","5","0.1"
"Sergei Murashov                                A","G","ENT","PIT","23","$0.0","5","5","1.0"
"Avery Hayes                                3","F","UFA","PIT","24","$0.0","16","5","0.3"
"Jacob Melanson                                3","F","UFA","SEA","24","$0.0","36","5","0.1"
"Jack Finley                                3","F","UFA","STL","25","$0.0","44","5","0.1"
"Scott Sabourin                                3","F","UFA","TBL","35","$0.0","26","5","0.2"
"Bo Groulx                                3","F","UFA","TOR","27","$0.0","13","5","0.4"
"Arshdeep Bains                                3","F","UFA","VAN","26","$0.0","28","5","0.2"
"Tanner Laczynski                                3","F","UFA","VGK","30","$0.0","10","5","0.5"
"Elias Salomonsson                                3","D","UFA","WPG","23","$0.0","32","5","0.2"
"Konsta Helenius                                A","F","VPP","BUF","21","$0.5","9","4","0.4"
"Maxim Tsyplakov                                3","F","UFA","CGY","28","$0.0","49","4","0.1"
"Samuel Honzek                                3","F","UFA","CGY","22","$0.0","18","4","0.2"
"Cayden Primeau                                F","G","LPT","CAR","28","$0.5","3","4","1.3"
"Colton White                                3","D","UFA","CBJ","30","$0.0","23","4","0.2"
"John Leonard                                3","F","UFA","DET","29","$0.0","11","4","0.4"
"Josh Samanski                                3","F","UFA","EDM","25","$0.0","24","4","0.2"
"Tobias Bjornfot                                3","D","UFA","FLA","26","$0.0","19","4","0.2"
"Jared Wright                                3","F","UFA","LAK","24","$0.0","23","4","0.2"
"Arber Xhekaj                                3","D","UFA","MTL","26","$0.0","65","4","0.1"
"Nico Daws                                3","G","UFA","NJD","26","$0.0","3","4","1.3"
"Adam Sykora                                3","F","UFA","NYR","23","$0.0","11","4","0.4"
"Dylan Garand                                C","G","LPT","NYR","25","$0.5","3","4","1.3"
"Filip Hallander                                3","F","UFA","PIT","27","$0.0","13","4","0.3"
"Curtis Douglas                                3","F","UFA","SEA","27","$0.0","43","4","0.1"
"Theo Lindstein                                3","D","UFA","STL","22","$0.0","17","4","0.2"
"Mackenzie MacEachern                                3","F","UFA","VAN","33","$0.0","8","4","0.5"
"Carl Lindbom                                B","G","SHF","VGK","24","$0.5","8","4","0.5"
"Ilya Protas                                A","F","GVR","WSH","21","$0.5","4","4","1.0"
"Josh Dunne                                3","F","UFA","WSH","28","$0.0","34","4","0.1"
"Haydn Fleury                                3","D","UFA","WPG","31","$0.0","38","4","0.1"
"Jordan Harris                                3","D","UFA","BOS","27","$0.0","8","3","0.4"
"Martin Pospisil                                3","F","UFA","CGY","27","$0.0","22","3","0.1"
"Ben Jones                                3","F","UFA","CGY","28","$0.0","28","3","0.1"
"Brennan Othmann                                B","F","ZSK","CGY","24","$0.5","19","3","0.2"
"Bradly Nadeau                                A","F","LPT","CAR","22","$0.5","12","3","0.3"
"Jake Christiansen                                3","D","UFA","CBJ","28","$0.0","40","3","0.1"
"Erik Gudbranson                                3","D","UFA","CBJ","35","$0.0","37","3","0.1"
"Dominik Shine                                3","F","UFA","DET","34","$0.0","18","3","0.2"
"Alec Regula                                3","D","UFA","EDM","27","$0.0","29","3","0.1"
"Jonah Gadjovich                                3","F","UFA","FLA","28","$0.0","10","3","0.3"
"Garnet Hathaway                                3","F","UFA","FLA","35","$0.0","66","3","0.0"
"Marek Alscher                                A","D","ENT","FLA","23","$0.0","4","3","0.8"
"Joakim Kemell                                A","F","LGN","NSH","23","$0.7","16","3","0.2"
"Vladislav Kolyachonok                                3","D","UFA","NJD","26","$0.0","13","3","0.2"
"Matthew Kessel                                3","D","UFA","NYI","27","$0.0","29","3","0.1"
"Marshall Warren                                3","D","UFA","NYI","26","$0.0","8","3","0.4"
"Vincent Iorio                                3","D","UFA","NYR","24","$0.0","27","3","0.1"
"Juuso Parssinen                                3","F","UFA","NYR","26","$0.0","20","3","0.2"
"Declan Carlile                                3","D","UFA","PIT","27","$0.0","42","3","0.1"
"Joshua Mahura                                3","D","UFA","SEA","29","$0.0","23","3","0.1"
"Cale Fleury                                3","D","UFA","SEA","28","$0.0","23","3","0.1"
"Conor Geekie                                A","F","VPP","TBL","23","$0.7","14","3","0.2"
"Jacob Quillan                                3","F","UFA","TOR","25","$0.0","23","3","0.1"
"Brandon Tanev                                3","F","UFA","UTA","35","$0.0","56","3","0.1"
"Filip Chytil                                3","F","UFA","VAN","28","$0.9","12","3","0.3"
"Jonathan Lekkerimaki                                A","F","VPP","VAN","23","$0.5","13","3","0.2"
"Victor Mancini                                3","D","UFA","VAN","25","$0.0","24","3","0.1"
"Ivan Miroshnichenko                                A","F","LPT","WSH","23","$0.5","13","3","0.2"
"Brian Halonen                                3","F","UFA","BOS","28","$0.0","15","2","0.1"
"Arsenii Sergeev                                3","G","UFA","CGY","24","$0.0","1","2","2.0"
"Nicolas Deslauriers                                3","F","UFA","CAR","36","$0.0","31","2","0.1"
"Charles Alexis Legault                                3","D","UFA","CAR","24","$0.0","12","2","0.2"
"Kevin Korchinski                                A","D","GVR","CHI","23","$0.5","13","2","0.2"
"Sacha Boisvert                                A","F","ENT","CHI","21","$0.0","7","2","0.3"
"Wilmer Skoog                                3","F","UFA","DET","28","$0.0","3","2","0.7"
"Sam Lafferty                                3","F","UFA","FLA","32","$0.0","29","2","0.1"
"Andre Lee                                3","F","UFA","LAK","27","$0.0","7","2","0.3"
"Hunter Haight                                A","F","ENT","MIN","23","$0.0","9","2","0.2"
"Justin Kirkland                                3","F","UFA","MIN","31","$0.0","20","2","0.1"
"Tyler Pitlick                                3","F","UFA","MIN","35","$0.0","32","2","0.1"
"Jack Ahcan                                3","D","UFA","NSH","30","$0.0","11","2","0.2"
"Dennis Cholowski                                3","D","UFA","NYR","29","$0.0","17","2","0.1"
"Drew Fortescue                                A","D","ENT","NYR","22","$0.0","9","2","0.2"
"Spencer Martin                                3","G","UFA","NYR","32","$0.0","6","2","0.3"
"Carter Yakemchuk                                A","D","JHN","OTT","21","$0.5","4","2","0.5"
"Oliver Bonk                                A","D","ENT","PHI","22","$0.0","1","2","2.0"
"Michael Kesselring                                3","D","UFA","SJS","27","$0.0","34","2","0.1"
"Oscar Fisker Molgaard                                3","F","UFA","SEA","22","$0.0","13","2","0.2"
"Nikke Kokko                                A","G","BOT","SEA","23","$0.5","3","2","0.7"
"Mads Sogaard                                3","G","UFA","TBL","26","$0.0","2","2","1.0"
"Chris Tanev                                3","D","UFA","TOR","37","$0.0","11","2","0.2"
"Philippe Myers                                3","D","UFA","TOR","30","$0.6","39","2","0.1"
"Kirill Kudryavtsev                                A","D","ENT","VAN","23","$0.0","3","2","0.7"
"Justin Holl                                3","D","UFA","WSH","35","$0.0","9","2","0.2"
"Tristan Luneau                                3","D","UFA","ANA","23","$0.0","1","1","1.0"
"Sam Colangelo                                3","F","UFA","ANA","25","$0.0","9","1","0.1"
"Travis Mitchell                                3","D","UFA","ANA","27","$0.0","9","1","0.1"
"James Hagens                                A","F","LPT","BOS","20","$0.9","2","1","0.5"
"Matthew Poitras                                3","F","UFA","BOS","23","$0.0","3","1","0.3"
"Ivan Ivan                                3","F","UFA","BOS","25","$0.0","9","1","0.1"
"Dennis Gilbert                                3","D","UFA","BUF","30","$0.0","8","1","0.1"
"Tyson Gross                                3","F","UFA","CGY","24","$0.0","6","1","0.2"
"Aydar Suniev                                A","F","ENT","CGY","22","$0.0","6","1","0.2"
"Justin Robidas                                3","F","UFA","CAR","24","$0.0","2","1","0.5"
"Felix Unger Sorum                                A","F","ENT","CAR","22","$0.0","1","1","1.0"
"Ethan Del Mastro                                3","D","UFA","CHI","24","$0.0","19","1","0.1"
"Dominic Toninato                                3","F","UFA","CHI","33","$0.0","8","1","0.1"
"Keaton Middleton                                3","D","UFA","COL","29","$0.0","3","1","0.3"
"Tristen Nielsen                                3","F","UFA","COL","27","$0.0","4","1","0.3"
"Luca Del Bel Belluz                                3","F","UFA","CBJ","23","$0.0","14","1","0.1"
"Mikael Pyyhtia                                3","F","UFA","CBJ","25","$0.0","5","1","0.2"
"Cameron Hughes                                3","F","UFA","DAL","30","$0.0","3","1","0.3"
"Michael Brandsegg-Nygard                                A","F","JHN","DET","21","$0.5","14","1","0.1"
"Connor Clattenburg                                A","F","ENT","EDM","22","$0.0","5","1","0.2"
"Quinn Hutson                                3","F","UFA","EDM","25","$0.0","4","1","0.3"
"Angus Crookshank                                3","F","UFA","FLA","27","$0.0","8","1","0.1"
"Mikulas Hovorka                                3","D","UFA","FLA","26","$0.0","4","1","0.3"
"Ludvig Jansson                                A","D","ENT","FLA","23","$0.0","4","1","0.3"
"Angus Booth                                A","D","ENT","LAK","23","$0.0","1","1","1.0"
"Matt Kiersted                                3","D","UFA","MIN","29","$0.0","6","1","0.2"
"Owen Beck                                3","F","UFA","MTL","23","$0.0","15","1","0.1"
"Jared Davidson                                3","F","UFA","MTL","25","$0.0","10","1","0.1"
"Adam Engstrom                                3","D","UFA","MTL","23","$0.0","15","1","0.1"
"David Reinbacher                                A","D","JHN","MTL","22","$0.7","2","1","0.5"
"Florian Xhekaj                                A","F","ENT","MTL","23","$0.0","5","1","0.2"
"Brady Martin                                A","F","LGN","NSH","20","$0.7","3","1","0.3"
"Riley Tufte                                3","F","UFA","NJD","29","$0.0","4","1","0.3"
"Victor Eklund                                A","F","LPT","NYI","20","$0.6","1","1","1.0"
"Isaiah George                                3","D","UFA","NYI","23","$0.0","4","1","0.3"
"Alexander Romanov                                3","D","UFA","NYI","27","$0.5","15","1","0.1"
"Mitchell Chaffee                                3","F","UFA","NYI","29","$0.0","11","1","0.1"
"Matt Luff                                3","F","UFA","NYI","30","$0.0","5","1","0.2"
"Matt Rempe                                3","F","UFA","NYR","25","$0.0","26","1","0.0"
"Anton Blidh                                3","F","UFA","NYR","32","$0.0","4","1","0.3"
"Kurtis MacDermid                                3","F","UFA","OTT","33","$0.0","19","1","0.1"
"Cameron Crotty                                3","D","UFA","OTT","28","$0.0","6","1","0.2"
"Philip Tomasino                                3","F","UFA","OTT","26","$0.5","9","1","0.1"
"Nolan Foote                                3","F","UFA","PHI","26","$0.0","12","1","0.1"
"Hunter McDonald                                3","D","UFA","PHI","25","$0.0","1","1","1.0"
"Harrison Brunicke                                A","D","ENT","PIT","21","$0.0","9","1","0.1"
"Ryan Graves                                3","D","UFA","PIT","32","$0.6","22","1","0.0"
"Caleb Jones                                3","D","UFA","PIT","30","$0.0","7","1","0.1"
"Alex Barre-Boulet                                3","F","UFA","SJS","30","$0.5","2","1","0.5"
"Ethan Cardwell                                3","F","UFA","SJS","25","$0.0","7","1","0.1"
"Patrick Giles                                3","F","UFA","SJS","27","$0.0","3","1","0.3"
"Maxim Groshev                                3","D","UFA","TBL","25","$0.0","2","1","0.5"
"Steven Santini                                3","D","UFA","TBL","32","$0.0","12","1","0.1"
"Luke Haymes                                3","F","UFA","TOR","24","$0.0","4","1","0.3"
"Dakota Mermis                                3","D","UFA","TOR","33","$0.0","11","1","0.1"
"Dmitri Simashev                                A","D","LGN","UTA","22","$0.5","28","1","0.0"
"Maveric Lamoureux                                3","D","UFA","UTA","23","$0.0","5","1","0.2"
"Ty Mueller                                3","F","UFA","VAN","24","$0.0","6","1","0.2"
"Jonas Rondbjerg                                3","F","UFA","VGK","28","$0.0","4","1","0.3"
"Parker Ford                                3","F","UFA","WPG","27","$0.0","15","1","0.1"
"Danil Zhilkin                                A","F","ENT","WPG","23","$0.0","6","1","0.2"
"Patrik Laine                                3","F","BOT","UFA","29","$2.3","5","1","0.2"
"Brendan Brisson                                C","F","BOT","TOR","25","$0.5","3","1","0.3"
"Ian Moore                                3","F","UFA","ANA","25","$0.0","0","0","0.0"
"Tyson Hinds                                3","D","UFA","ANA","24","$0.0","6","0","0.0"
"Laurent Brossoit                                3","G","UFA","ANA","34","$0.0","1","0","0.0"
"Judd Caulfield                                3","F","UFA","ANA","26","$0.0","0","0","0.0"
"Damian Clara                                A","G","ENT","ANA","22","$0.0","0","0","0.0"
"Sean Farrell                                3","F","UFA","ANA","25","$0.0","0","0","0.0"
"Nathan Gaucher                                A","F","ENT","ANA","23","$0.0","3","0","0.0"
"James Hamblin                                3","F","UFA","ANA","28","$0.0","0","0","0.0"
"Cruz Lucius                                A","F","ENT","ANA","23","$0.0","0","0","0.0"
"Roger McQueen                                A","F","LPT","ANA","20","$0.7","0","0","0.0"
"Nico Myatovic                                A","F","ENT","ANA","22","$0.0","0","0","0.0"
"Lucas Pettersson                                A","F","ENT","ANA","21","$0.0","0","0","0.0"
"Coulson Pitre                                A","F","ENT","ANA","22","$0.0","0","0","0.0"
"Ethan Procyszyn                                A","F","ENT","ANA","21","$0.0","0","0","0.0"
"Corey Schueneman                                3","D","UFA","ANA","32","$0.0","0","0","0.0"
"Yegor Sidorov                                A","F","ENT","ANA","23","$0.0","0","0","0.0"
"Konnor Smith                                A","D","ENT","ANA","22","$0.0","0","0","0.0"
"Stian Solberg                                A","D","ENT","ANA","21","$0.0","0","0","0.0"
"Tomas Suchanek                                3","G","UFA","ANA","24","$0.0","0","0","0.0"
"Herman Traff                                A","F","ENT","ANA","21","$0.0","0","0","0.0"
"Anton Wahlberg                                A","F","ENT","ANA","22","$0.0","0","0","0.0"
"Noah Warren                                A","D","ENT","ANA","23","$0.0","0","0","0.0"
"Jett Woo                                3","D","UFA","ANA","27","$0.0","0","0","0.0"
"Vyacheslav Buteyets                                3","G","UFA","ANA","25","$0.0","1","0","0.0"
"Calle Clang                                3","G","UFA","ANA","25","$0.0","0","0","0.0"
"Rian Chudzinski                                A","F","ENT","ANA","19","$0.0","0","0","0.0"
"Eric Frossard                                A","D","ENT","ANA","19","$0.0","0","0","0.0"
"Nikita Klepov                                A","F","ENT","ANA","19","$0.0","0","0","0.0"
"Noah Kosick                                A","F","ENT","ANA","19","$0.0","0","0","0.0"
"Jayden Kurtz                                A","D","ENT","ANA","19","$0.0","0","0","0.0"
"Alexis Mathieu                                A","D","ENT","ANA","20","$0.0","0","0","0.0"
"Marcus Nordmark                                A","F","ENT","ANA","19","$0.0","0","0","0.0"
"Mathis Preston                                A","F","ENT","ANA","19","$0.0","0","0","0.0"
"Noah Read                                A","F","ENT","ANA","20","$0.0","0","0","0.0"
"James Rieber                                A","D","ENT","ANA","19","$0.0","0","0","0.0"
"Brady Turko                                A","F","ENT","ANA","20","$0.0","0","0","0.0"
"Anthony Allain-Samake                                A","D","ENT","ANA","20","$0.0","0","0","0.0"
"Alexandre Blais                                A","F","ENT","ANA","21","$0.0","0","0","0.0"
"Austin Burnevik                                A","F","ENT","ANA","22","$0.0","0","0","0.0"
"Michael Callow                                A","F","ENT","ANA","23","$0.0","0","0","0.0"
"Emile Guite                                A","F","ENT","ANA","20","$0.0","0","0","0.0"
"Maxim Masse                                A","F","ENT","ANA","21","$0.0","0","0","0.0"
