"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Matthew Knies                                C","F","JHN","TOR","24","$1.4","79","66","0.8"
"Sergei Bobrovsky                                3","G","UFA","TOR","38","$6.5","52","66","1.3"
"Alex Tuch                                3","F","UFA","WSH","31","$2.0","79","66","0.8"
"Pavel Zacha                                3","F","UFA","BOS","30","$1.3","78","65","0.8"
"Brock Nelson                                3","F","UFA","COL","35","$1.4","81","65","0.8"
"Linus Ullmark                                3","G","UFA","OTT","34","$3.5","49","65","1.3"
"Bryan Rust                                3","F","UFA","PIT","35","$1.2","72","65","0.9"
"Anthony Mantha                                3","F","BOT","NJD","32","$0.7","81","64","0.8"
"Pavel Dorofeyev                                3","F","UFA","NYR","26","$0.5","82","64","0.8"
"Robert Thomas                                2","F","LGN","STL","28","$3.3","64","64","1.0"
"Alex Ovechkin                                3","F","UFA","WSH","41","$2.3","82","64","0.8"
"Miro Heiskanen                                3","D","UFA","DAL","28","$5.8","77","63","0.8"
"Ivan Demidov                                A","F","JHN","MTL","21","$0.9","82","62","0.8"
"Tom Wilson                                3","F","MAC","WSH","33","$1.0","72","62","0.9"
"Charlie McAvoy                                3","D","UFA","BOS","29","$1.8","69","61","0.9"
"Sam Reinhart                                3","F","JHN","FLA","31","$6.4","64","61","1.0"
"Evgeni Malkin                                3","F","UFA","PIT","41","$0.8","56","61","1.1"
"Ivan Barbashev                                3","F","UFA","VGK","31","$1.1","82","61","0.7"
"Beckett Sennecke                                A","F","JHN","ANA","21","$0.6","82","60","0.7"
"Lukas Dostal                                2","G","ZSK","ANA","27","$0.9","56","60","1.1"
"Moritz Seider                                RFA1","D","'RFA'","DET","26","$1.2","82","60","0.7"
"John Carlson                                3","D","UFA","TBL","37","$3.0","71","60","0.8"
"Jakob Chychrun                                3","D","UFA","WSH","29","$2.5","80","60","0.8"
"Adam Fantilli                                A","F","GVR","CBJ","22","$0.9","82","59","0.7"
"Brady Tkachuk                                2","F","VPP","FLA","27","$3.0","60","59","1.0"
"Matthew Schaefer                                A","D","LGN","NYI","20","$0.9","82","59","0.7"
"Dylan Cozens                                RFA1","F","'RFA'","OTT","26","$0.6","82","59","0.7"
"Will Smith                                B","F","VPP","SJS","22","$1.8","69","59","0.9"
"Mikhail Sergachev                                3","D","UFA","UTA","29","$3.0","78","59","0.8"
"Jackson LaCombe                                3","D","UFA","ANA","26","$1.4","82","58","0.7"
"Tyler Bertuzzi                                3","F","UFA","CHI","32","$0.7","79","58","0.7"
"Charlie Coyle                                3","F","BOT","CBJ","35","$0.7","82","58","0.7"
"Jet Greaves                                3","G","SHF","CBJ","26","$0.5","55","58","1.1"
"Sam Bennett                                3","F","UFA","FLA","31","$1.3","76","58","0.8"
"Jakub Dobes                                3","G","LGN","MTL","26","$0.6","43","58","1.3"
"Dan Vladar                                3","G","UFA","PHI","30","$0.5","52","58","1.1"
"Tomas Hertl                                3","F","UFA","VGK","33","$2.0","82","58","0.7"
"Dylan Strome                                RFA2","F","'RFA'","WSH","30","$0.9","80","58","0.7"
"Troy Terry                                3","F","UFA","ANA","30","$1.6","61","57","0.9"
"Patrick Kane                                3","F","UFA","CHI","38","$0.9","67","57","0.9"
"Bo Horvat                                3","F","UFA","NYI","32","$1.5","68","57","0.8"
"Alexis Lafreniere                                C","F","GVR","NYR","25","$2.0","82","57","0.7"
"Ryan Nugent-Hopkins                                3","F","UFA","EDM","34","$1.9","72","56","0.8"
"Luke Evangelista                                3","F","LGN","NJD","25","$0.7","81","56","0.7"
"Juuse Saros                                3","G","LGN","NSH","32","$2.2","59","56","0.9"
"Mackenzie Blackwood                                3","G","LPT","COL","30","$3.6","39","55","1.4"
"Carter Verhaeghe                                3","F","UFA","FLA","32","$3.7","77","55","0.7"
"Roman Josi                                3","D","UFA","NSH","37","$5.4","68","55","0.8"
"Jordan Eberle                                3","F","UFA","SEA","37","$0.8","80","55","0.7"
"Josh Morrissey                                3","D","UFA","WPG","32","$4.8","77","55","0.7"
"Ryan McLeod                                3","F","UFA","BUF","27","$1.5","81","54","0.7"
"Viktor Arvidsson                                3","F","UFA","DET","34","$0.5","69","54","0.8"
"Brad Marchand                                3","F","UFA","FLA","39","$1.2","52","54","1.0"
"Mats Zuccarello                                3","F","UFA","LAK","40","$1.2","59","54","0.9"
"Jake Sanderson                                RFA1","D","'RFA'","OTT","25","$1.4","67","54","0.8"
"Jackson Blake                                3","F","UFA","CAR","24","$2.0","81","53","0.7"
"J.T. Miller                                3","F","UFA","NYR","34","$4.9","68","53","0.8"
"Adam Fox                                2","D","LGN","NYR","29","$5.0","55","53","1.0"
"Igor Shesterkin                                3","G","JHN","NYR","31","$5.6","51","53","1.0"
"William Eklund                                B","F","LGN","OTT","24","$1.5","78","53","0.7"
"Auston Matthews                                3","F","HSM","TOR","29","$6.6","60","53","0.9"
"Vincent Trocheck                                3","F","UFA","UTA","34","$2.2","67","53","0.8"
"Josh Doan                                3","F","UFA","BUF","25","$1.1","82","52","0.6"
"Dustin Wolf                                RFA1","G","'RFA'","CGY","26","$1.2","57","52","0.9"
"Zach Hyman                                3","F","UFA","EDM","35","$2.0","58","52","0.9"
"Anthony Cirelli                                3","F","UFA","TBL","30","$0.9","71","52","0.7"
"Aliaksei Protas                                3","F","HSM","WSH","26","$1.0","76","52","0.7"
"Stuart Skinner                                3","G","UFA","WPG","28","$5.6","50","52","1.0"
"Jack Quinn                                C","F","VPP","BUF","25","$1.0","82","51","0.6"
"Joel Eriksson Ek                                3","F","UFA","MIN","30","$1.5","70","51","0.7"
"Brock Faber                                RFA1","D","'RFA'","MIN","25","$1.2","80","51","0.6"
"Christian Dvorak                                3","F","UFA","PHI","31","$0.9","80","51","0.6"
"Matvei Michkov                                A","F","JHN","PHI","22","$0.8","81","51","0.6"
"Owen Tippett                                2","F","JHN","PHI","28","$0.9","81","51","0.6"
"Dylan Holloway                                C","F","BOT","STL","25","$1.6","59","51","0.9"
"Jimmy Snuggerud                                A","F","LGN","STL","23","$0.6","70","51","0.7"
"Elias Pettersson                                3","F","UFA","VAN","28","$3.1","74","51","0.7"
"Chris Kreider                                3","F","UFA","ANA","36","$2.4","75","50","0.7"
"Shayne Gostisbehere                                3","D","UFA","CAR","34","$2.0","55","50","0.9"
"Nazem Kadri                                3","F","UFA","COL","36","$2.5","77","50","0.6"
"Matty Beniers                                B","F","LGN","SEA","24","$1.5","82","50","0.6"
"Brayden Point                                3","F","UFA","TBL","31","$6.8","63","50","0.8"
"Alex Lyon                                3","G","SRL","BUF","34","$0.5","36","49","1.4"
"Valeri Nichushkin                                3","F","UFA","CBJ","32","$1.1","72","49","0.7"
"Jacob Markstrom                                3","G","UFA","FLA","37","$3.3","44","49","1.1"
"Quinton Byfield                                C","F","LGN","LAK","25","$1.5","79","49","0.6"
"Claude Giroux                                3","F","UFA","OTT","39","$0.5","82","49","0.6"
"Tyler Toffoli                                3","F","UFA","SJS","35","$0.8","79","49","0.6"
"Chandler Stephenson                                3","F","UFA","SEA","33","$0.5","80","49","0.6"
"Filip Hronek                                3","D","UFA","VAN","29","$2.0","82","49","0.6"
"Elias Lindholm                                3","F","UFA","BOS","32","$3.2","69","48","0.7"
"Taylor Hall                                3","F","UFA","CAR","35","$0.9","80","48","0.6"
"Artturi Lehkonen                                3","F","UFA","COL","32","$0.9","70","48","0.7"
"Jesper Wallstedt                                B","G","SRL","MIN","24","$0.6","35","48","1.4"
"Rickard Rakell                                3","F","UFA","PIT","34","$0.7","60","48","0.8"
"Pavel Buchnevich                                3","F","JHN","STL","32","$2.4","81","48","0.6"
"Brock Boeser                                3","F","UFA","VAN","30","$3.2","75","48","0.6"
"JJ Peterka                                C","F","VPP","BOS","25","$1.4","82","47","0.6"
"Ukko-Pekka Luukkonen                                RFA2","G","'RFA'","BUF","28","$2.4","35","47","1.3"
"Spencer Knight                                RFA1","G","'RFA'","CHI","26","$0.5","55","47","0.9"
"Darcy Kuemper                                3","G","UFA","LAK","37","$3.7","50","47","0.9"
"Noah Dobson                                2","D","BOT","MTL","27","$2.0","80","47","0.6"
"Noah Cates                                3","F","UFA","PHI","28","$0.5","82","47","0.6"
"Rasmus Andersson                                3","D","UFA","VGK","30","$1.0","81","47","0.6"
"Shane Pinto                                3","F","LGN","OTT","26","$0.6","72","46","0.6"
"Collin Graf                                3","F","JHN","SJS","24","$0.6","81","46","0.6"
"Bobby McMann                                3","F","UFA","SEA","31","$0.5","78","46","0.6"
"Joey Daccord                                3","G","UFA","SEA","31","$0.9","47","46","1.0"
"Connor McMichael                                RFA1","F","'RFA'","STL","26","$1.2","78","46","0.6"
"Jordan Kyrou                                2","F","HSM","WSH","29","$4.0","72","46","0.6"
"Connor Hellebuyck                                3","G","UFA","WPG","34","$8.4","57","46","0.8"
"Jason Zucker                                3","F","GVR","BUF","35","$0.5","62","45","0.7"
"Matt Coronato                                B","F","LPT","CGY","24","$0.6","80","45","0.6"
"Matt Duchene                                3","F","UFA","DAL","36","$2.9","57","45","0.8"
"Mason Marchment                                3","F","UFA","SJS","32","$0.8","68","45","0.7"
"Ryan Leonard                                A","F","MAC","WSH","22","$0.8","75","45","0.6"
"Logan Stankoven                                C","F","SRL","CAR","24","$0.6","81","44","0.5"
"Roope Hintz                                3","F","UFA","DAL","30","$4.0","53","44","0.8"
"Anton Lundell                                C","F","GVR","FLA","25","$0.8","64","44","0.7"
"Alex Laferriere                                3","F","UFA","LAK","25","$0.6","82","44","0.5"
"Timo Meier                                3","F","UFA","NJD","30","$3.2","77","44","0.6"
"Arturs Silovs                                D","G","LPT","PIT","26","$0.6","39","44","1.1"
"Vince Dunn                                3","D","ZSK","SEA","30","$2.1","81","44","0.5"
"Lawson Crouse                                3","F","UFA","UTA","30","$0.5","81","44","0.5"
"Zach Benson                                A","F","JHN","BUF","22","$0.7","65","43","0.7"
"Mikael Backlund                                3","F","UFA","CGY","38","$0.5","82","43","0.5"
"Morgan Frost                                3","F","UFA","CGY","28","$0.6","82","43","0.5"
"Andrew Copp                                3","F","UFA","DET","33","$1.4","79","43","0.5"
"Ryan Hartman                                3","F","UFA","MIN","32","$0.7","76","43","0.6"
"Connor Brown                                3","F","UFA","NJD","33","$0.8","75","43","0.6"
"Logan Cooley                                C","F","LGN","UTA","23","$2.5","54","43","0.8"
"Casey Mittelstadt                                2","F","VPP","BOS","28","$1.9","71","42","0.6"
"Bowen Byram                                2","D","GVR","CHI","26","$0.9","82","42","0.5"
"Tristan Jarry                                3","G","UFA","EDM","32","$0.5","33","42","1.3"
"Dawson Mercer                                RFA1","F","'RFA'","NJD","25","$0.5","82","42","0.5"
"Egor Chinakhov                                RFA1","F","'RFA'","PIT","26","$0.5","72","42","0.6"
"Tommy Novak                                3","F","UFA","PIT","30","$0.7","82","42","0.5"
"Yaroslav Askarov                                C","G","GVR","SJS","25","$0.8","47","42","0.9"
"Anders Lee                                3","F","UFA","UTA","37","$0.5","82","42","0.5"
"Jake DeBrusk                                3","F","UFA","VAN","30","$0.9","81","42","0.5"
"Mikael Granlund                                3","F","UFA","ANA","35","$1.1","58","41","0.7"
"Mattias Samuelsson                                3","D","UFA","BUF","27","$0.6","78","41","0.5"
"Frank Nazar                                B","F","BOT","CHI","23","$0.5","66","41","0.6"
"Mattias Ekholm                                3","D","UFA","EDM","37","$1.0","82","41","0.5"
"Anton Forsberg                                3","G","UFA","LAK","34","$0.0","36","41","1.1"
"Mavrik Bourque                                C","F","VPP","NSH","25","$0.5","82","41","0.5"
"Simon Holmstrom                                3","F","UFA","NYI","26","$0.0","79","41","0.5"
"Mason McTavish                                B","F","LPT","STL","24","$0.5","75","41","0.5"
"Sam Malinski                                3","D","UFA","COL","29","$0.7","82","40","0.5"
"Justin Faulk                                3","D","UFA","DET","35","$0.7","78","40","0.5"
"Kevin Fiala                                3","F","UFA","LAK","31","$3.1","56","40","0.7"
"Brandt Clarke                                B","D","LGN","LAK","24","$0.8","82","40","0.5"
"Kaapo Kakko                                RFA1","F","'RFA'","SEA","26","$0.9","65","40","0.6"
"Jared McCann                                3","F","UFA","SEA","31","$1.3","52","40","0.8"
"Peyton Krebs                                3","F","UFA","BUF","26","$0.5","82","39","0.5"
